行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,当虹科技,688039,20.0,当虹科技 +20.0%
IT服务Ⅱ,1日先锋,2,紫光股份,000938,10.007,紫光股份 +10.0%
IT服务Ⅱ,1日先锋,3,联迪信息,920790,7.15,联迪信息 +7.2%
IT服务Ⅱ,3日动能,1,当虹科技,688039,19.309778142974544,当虹科技 +19.3%
IT服务Ⅱ,3日动能,2,真视通,002771,15.24193548387096,真视通 +15.2%
IT服务Ⅱ,3日动能,3,紫光股份,000938,11.293017039759444,紫光股份 +11.3%
IT服务Ⅱ,5日趋势,1,紫光股份,000938,26.94359756097562,紫光股份 +26.9%
IT服务Ⅱ,5日趋势,2,真视通,002771,16.74836601307188,真视通 +16.7%
IT服务Ⅱ,5日趋势,3,神州数码,000034,11.89461449050755,神州数码 +11.9%
IT服务Ⅱ,核心中军,1,紫光股份,000938,9933778020.0,紫光股份 99.3亿
IT服务Ⅱ,核心中军,2,宏景科技,301396,2582904711.0,宏景科技 25.8亿
IT服务Ⅱ,核心中军,3,神州数码,000034,2453994863.0,神州数码 24.5亿
专业工程,1日先锋,1,中国化学,601117,1.589,中国化学 +1.6%
专业工程,1日先锋,2,中材国际,600970,0.821,中材国际 +0.8%
专业工程,1日先锋,3,东华科技,002140,-0.215,东华科技 -0.2%
专业工程,3日动能,1,中材国际,600970,4.539007092198588,中材国际 +4.5%
专业工程,3日动能,2,三联虹普,300384,2.2090059473236945,三联虹普 +2.2%
专业工程,3日动能,3,东华科技,002140,1.4223194748358647,东华科技 +1.4%
专业工程,5日趋势,1,利柏特,605167,7.436918990703845,利柏特 +7.4%
专业工程,5日趋势,2,中材国际,600970,1.0973936899862924,中材国际 +1.1%
专业工程,5日趋势,3,中国化学,601117,0.5242463958060384,中国化学 +0.5%
专业工程,核心中军,1,中国化学,601117,749979553.0,中国化学 7.5亿
专业工程,核心中军,2,中工国际,002051,540145256.0,中工国际 5.4亿
专业工程,核心中军,3,利柏特,605167,181987508.0,利柏特 1.8亿
专业连锁Ⅲ,1日先锋,1,吉峰科技,300022,1.949,吉峰科技 +1.9%
专业连锁Ⅲ,1日先锋,2,天音控股,000829,0.264,天音控股 +0.3%
专业连锁Ⅲ,1日先锋,3,爱施德,002416,-0.33,爱施德 -0.3%
专业连锁Ⅲ,3日动能,1,吉峰科技,300022,4.62499999999999,吉峰科技 +4.6%
专业连锁Ⅲ,3日动能,2,爱婴室,603214,2.704852824184556,爱婴室 +2.7%
专业连锁Ⅲ,3日动能,3,爱施德,002416,0.5549389567147678,爱施德 +0.6%
专业连锁Ⅲ,5日趋势,1,天音控股,000829,7.193229901269382,天音控股 +7.2%
专业连锁Ⅲ,5日趋势,2,爱婴室,603214,4.959349593495932,爱婴室 +5.0%
专业连锁Ⅲ,5日趋势,3,爱施德,002416,1.5695067264574147,爱施德 +1.6%
专业连锁Ⅲ,核心中军,1,孩子王,301078,158146922.0,孩子王 1.6亿
专业连锁Ⅲ,核心中军,2,爱施德,002416,140539625.0,爱施德 1.4亿
专业连锁Ⅲ,核心中军,3,天音控股,000829,111972019.0,天音控股 1.1亿
专用设备,1日先锋,1,华依科技,688071,11.268,华依科技 +11.3%
专用设备,1日先锋,2,高澜股份,300499,10.109,高澜股份 +10.1%
专用设备,1日先锋,3,浩洋股份,300833,7.989,浩洋股份 +8.0%
专用设备,3日动能,1,科达制造,600499,16.40625,科达制造 +16.4%
专用设备,3日动能,2,浩洋股份,300833,13.245033112582782,浩洋股份 +13.2%
专用设备,3日动能,3,华依科技,688071,10.656413073331517,华依科技 +10.7%
专用设备,5日趋势,1,科达制造,600499,18.33935018050543,科达制造 +18.3%
专用设备,5日趋势,2,天永智能,603895,12.34119782214156,天永智能 +12.3%
专用设备,5日趋势,3,中坚科技,002779,12.237468496219538,中坚科技 +12.2%
专用设备,核心中军,1,英维克,002837,4875197950.0,英维克 48.8亿
专用设备,核心中军,2,芯碁微装,688630,2539040609.0,芯碁微装 25.4亿
专用设备,核心中军,3,高澜股份,300499,2446936076.0,高澜股份 24.5亿
个护用品,1日先锋,1,洁雅股份,301108,10.854,洁雅股份 +10.9%
个护用品,1日先锋,2,中顺洁柔,002511,0.575,中顺洁柔 +0.6%
个护用品,1日先锋,3,百亚股份,003006,0.067,百亚股份 +0.1%
个护用品,3日动能,1,洁雅股份,301108,12.223168654173765,洁雅股份 +12.2%
个护用品,3日动能,2,诺邦股份,603238,3.421052631578947,诺邦股份 +3.4%
个护用品,3日动能,3,中顺洁柔,002511,3.2448377581120846,中顺洁柔 +3.2%
个护用品,5日趋势,1,诺邦股份,603238,4.9866429207479746,诺邦股份 +5.0%
个护用品,5日趋势,2,豪悦护理,605009,4.831751509922344,豪悦护理 +4.8%
个护用品,5日趋势,3,中顺洁柔,002511,4.011887072808307,中顺洁柔 +4.0%
个护用品,核心中军,1,延江股份,300658,118165206.0,延江股份 1.2亿
个护用品,核心中军,2,稳健医疗,300888,105359214.0,稳健医疗 1.1亿
个护用品,核心中军,3,洁雅股份,301108,92486950.0,洁雅股份 0.9亿
乘用车,1日先锋,1,长城汽车,601633,2.602,长城汽车 +2.6%
乘用车,1日先锋,2,上汽集团,600104,1.484,上汽集团 +1.5%
乘用车,1日先锋,3,广汽集团,601238,1.143,广汽集团 +1.1%
乘用车,3日动能,1,上汽集团,600104,4.907975460122693,上汽集团 +4.9%
乘用车,3日动能,2,长城汽车,601633,4.7144754316069015,长城汽车 +4.7%
乘用车,3日动能,3,广汽集团,601238,2.5096525096525157,广汽集团 +2.5%
乘用车,5日趋势,1,上汽集团,600104,4.480651731160901,上汽集团 +4.5%
乘用车,5日趋势,2,广汽集团,601238,3.7109375,广汽集团 +3.7%
乘用车,5日趋势,3,海马汽车,000572,2.7100271002709952,海马汽车 +2.7%
乘用车,核心中军,1,上汽集团,600104,643999326.0,上汽集团 6.4亿
乘用车,核心中军,2,海马汽车,000572,609040238.0,海马汽车 6.1亿
乘用车,核心中军,3,长安汽车,000625,464989369.0,长安汽车 4.6亿
交通运输,1日先锋,1,四川成渝,601107,6.142,四川成渝 +6.1%
交通运输,1日先锋,2,厦门象屿,600057,5.31,厦门象屿 +5.3%
交通运输,1日先锋,3,建发股份,600153,4.38,建发股份 +4.4%
交通运输,3日动能,1,三羊马,001317,8.893330002498123,三羊马 +8.9%
交通运输,3日动能,2,建发股份,600153,8.196721311475418,建发股份 +8.2%
交通运输,3日动能,3,厦门象屿,600057,8.18181818181818,厦门象屿 +8.2%
交通运输,5日趋势,1,东方嘉盛,002889,13.773035887487882,东方嘉盛 +13.8%
交通运输,5日趋势,2,三羊马,001317,11.740579338631129,三羊马 +11.7%
交通运输,5日趋势,3,音飞储存,603066,9.824198552223361,音飞储存 +9.8%
交通运输,核心中军,1,海晨股份,300873,1130087440.0,海晨股份 11.3亿
交通运输,核心中军,2,中国东航,600115,902907480.0,中国东航 9.0亿
交通运输,核心中军,3,密尔克卫,603713,888755364.0,密尔克卫 8.9亿
产业地产,1日先锋,1,上海临港,600848,2.839,上海临港 +2.8%
产业地产,1日先锋,2,外高桥,600648,0.945,外高桥 +0.9%
产业地产,1日先锋,3,中新集团,601512,0.62,中新集团 +0.6%
产业地产,3日动能,1,华夏幸福,600340,5.1724137931034475,华夏幸福 +5.2%
产业地产,3日动能,2,上海临港,600848,4.8684210526315885,上海临港 +4.9%
产业地产,3日动能,3,外高桥,600648,3.38573155985491,外高桥 +3.4%
产业地产,5日趋势,1,华夏幸福,600340,6.08695652173914,华夏幸福 +6.1%
产业地产,5日趋势,2,电子城,600658,5.882352941176472,电子城 +5.9%
产业地产,5日趋势,3,上海临港,600848,5.284015852047541,上海临港 +5.3%
产业地产,核心中军,1,张江高科,600895,1032442906.0,张江高科 10.3亿
产业地产,核心中军,2,上海临港,600848,113438301.0,上海临港 1.1亿
产业地产,核心中军,3,华夏幸福,600340,61863853.0,华夏幸福 0.6亿
人力资源服务,1日先锋,1,北京人力,600861,2.302,北京人力 +2.3%
人力资源服务,1日先锋,2,外服控股,600662,0.483,外服控股 +0.5%
人力资源服务,1日先锋,3,科锐国际,300662,-0.166,科锐国际 -0.2%
人力资源服务,3日动能,1,北京人力,600861,3.7842190016103006,北京人力 +3.8%
人力资源服务,3日动能,2,科锐国际,300662,3.1482541499713745,科锐国际 +3.1%
人力资源服务,3日动能,3,外服控股,600662,1.4634146341463428,外服控股 +1.5%
人力资源服务,5日趋势,1,外服控股,600662,3.2258064516129004,外服控股 +3.2%
人力资源服务,5日趋势,2,北京人力,600861,3.2025620496397122,北京人力 +3.2%
人力资源服务,5日趋势,3,科锐国际,300662,0.0,科锐国际 +0.0%
人力资源服务,核心中军,1,科锐国际,300662,66238929.0,科锐国际 0.7亿
人力资源服务,核心中军,2,外服控股,600662,52735723.0,外服控股 0.5亿
人力资源服务,核心中军,3,北京人力,600861,42433216.0,北京人力 0.4亿
仪器仪表,1日先锋,1,先锋电子,002767,9.978,先锋电子 +10.0%
仪器仪表,1日先锋,2,理工光科,300557,5.709,理工光科 +5.7%
仪器仪表,1日先锋,3,同宇新材,301630,3.78,同宇新材 +3.8%
仪器仪表,3日动能,1,先锋电子,002767,18.802395209580848,先锋电子 +18.8%
仪器仪表,3日动能,2,集智股份,300553,6.303387334315169,集智股份 +6.3%
