行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分,主线家族,题材层级,个体活跃分,家族强度,家族共振度,家族排名,家族内排名,题材地位
其他生物制品,6.307922770238875,4.774955614948556,1.6043684210526317,3.4773215627484477,7.182603960352041,6.454093373412384,0.7894736842105263,2,17761442657.0,38,1.217467288155604,领涨,右上加速,89.9,医药医疗,细分题材,93.4,79.2,54.3,1,1,主线核心
医药生物,5.38420089835594,3.929960617434768,0.8179642857142857,3.725882780978762,7.054718369700641,6.105514202676865,0.6785714285714286,3,93781086770.0,224,0.844177243548573,领涨,右上加速,88.1,医药医疗,宽基主线,90.8,79.2,54.3,1,2,主线核心
快递,9.272321407151559,9.755590644591807,2.317,2.557587218591073,13.039868220307383,13.133507672716703,1.0,0,2522650604.0,4,0.11960818375293547,领涨,右上加速,85.1,交通物流,微型题材,89.2,68.6,70.1,4,1,主线扩散
饲料,5.2035425756195535,7.261437248096829,1.4853076923076922,1.874717147806293,7.352086084307907,5.2378782721444805,0.7692307692307693,0,2362980272.0,13,0.2131793664997692,领涨,右上加速,83.1,农业养殖,细分题材,85.3,76.7,48.9,2,1,主线核心
纺织鞋类制造,7.292798922467214,2.1812517705034344,1.56,4.1447700959800216,7.260781617251721,7.260781617251721,1.0,0,81893126.0,1,1.2915430614929027,领涨,右下降温,81.5,大消费,微型题材,84.2,75.7,42.1,3,1,主线核心
厨卫电器,2.125544705695666,7.030756614200182,2.0879999999999996,2.9785755698640948,8.054645982076902,4.7893951534767165,1.0,0,269876014.0,3,0.20565821866197287,领涨,右上加速,81.1,大消费,微型题材,83.7,75.7,42.1,3,2,主线核心
农林牧渔,2.1387151129604653,4.478751415675053,1.3538863636363636,1.6615818853935815,5.298420539839355,1.2472104593684863,0.6818181818181818,1,13955897879.0,44,0.40042688970511175,领涨,右上加速,80.9,农业养殖,宽基主线,82.2,76.7,48.9,2,2,主线核心
动物保健Ⅲ,8.089961806234463,0.8431965048606956,1.8673846153846154,5.090092169995031,8.31271755271301,8.595362426059626,0.7692307692307693,1,2496649992.0,13,0.48725235164423664,领涨,右上加速,80.8,农业养殖,细分题材,82.1,76.7,48.9,2,3,主线核心
家用电器,5.409632112263818,4.592960803601451,-1.4643170731707318,1.1156956173143495,6.58220886436125,3.2917213912230903,0.24390243902439024,2,21225151291.0,41,0.42443785592454497,领涨,右上加速,80.5,大消费,宽基主线,82.9,75.7,42.1,3,3,主线核心
其他养殖,5.410204540436243,7.531782472187761,-0.9553333333333335,4.773005870930391,9.087275685137119,4.7530307138481165,0.3333333333333333,0,123474818.0,3,0.2422853593590617,领涨,右上加速,78.9,农业养殖,微型题材,81.6,76.7,48.9,2,4,主线扩散
