主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
医药医疗,13,2,68.65384615384616,86.76666666666665,4.657056481705775,8,53.84615384615385,54.88549144979,79.2,54.3,1
农业养殖,9,1,69.6,83.2,5.877872331170386,2,44.44444444444444,54.299404299404294,76.7,48.9,2
大消费,58,5,58.29137931034483,83.60000000000001,3.8996811700647758,13,37.93103448275862,47.21121952382963,75.7,42.1,3
交通物流,7,1,58.642857142857146,76.5,5.120869315967605,1,71.42857142857143,68.40538847117793,68.6,70.1,4
高端制造军工,19,4,51.63684210526316,74.43333333333334,3.068352175573524,19,5.263157894736842,21.33553903168308,67.5,12.5,5
汽车机器人,9,2,55.833333333333336,72.83333333333333,4.483302790533482,3,44.44444444444444,34.71610761705101,66.0,40.1,6
资源化工,36,5,44.50833333333333,78.0,1.1787727199223086,11,22.22222222222222,44.325832838421974,61.8,32.2,7
环保公用,3,2,55.73333333333333,55.73333333333333,3.579450834404659,3,0.0,46.84599210215909,54.5,21.1,8
其他主题,8,1,49.0625,58.26666666666667,3.7659284452406157,1,25.0,46.19640979935098,53.1,34.5,9
地产基建,16,3,41.61875,58.666666666666664,1.2380493897793776,8,12.5,33.90670093795094,51.4,22.1,10
市场指数,4,0,47.275000000000006,50.199999999999996,0.5489122734014917,172,0.0,31.860161829125982,50.9,14.3,11
金融,7,2,47.57142857142857,57.26666666666667,2.918843802930152,0,14.285714285714285,74.2586211973967,48.2,41.3,12
AI数字经济,13,4,37.00000000000001,57.166666666666664,-0.47806759011198063,12,23.076923076923077,31.827801919907184,47.2,27.0,13
半导体电子,9,2,31.077777777777776,40.53333333333333,-3.8280837638279115,13,0.0,21.650231375579228,37.4,9.7,14
新能源电力,15,2,29.706666666666663,38.46666666666666,-0.4602866292274332,5,0.0,19.855765494680977,34.3,8.9,15
