行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,*ST湘邮,600476,5.0,*ST湘邮 +5.0%
IT服务Ⅱ,1日先锋,2,捷顺科技,002609,3.99,捷顺科技 +4.0%
IT服务Ⅱ,1日先锋,3,达实智能,002421,3.94,达实智能 +3.9%
IT服务Ⅱ,3日动能,1,捷顺科技,002609,3.7394451145958962,捷顺科技 +3.7%
IT服务Ⅱ,3日动能,2,达实智能,002421,2.8368794326241176,达实智能 +2.8%
IT服务Ⅱ,3日动能,3,神州数码,000034,2.225237449118045,神州数码 +2.2%
IT服务Ⅱ,5日趋势,1,*ST湘邮,600476,8.442776735459656,*ST湘邮 +8.4%
IT服务Ⅱ,5日趋势,2,达实智能,002421,3.571428571428581,达实智能 +3.6%
IT服务Ⅱ,5日趋势,3,捷顺科技,002609,3.4897713598074587,捷顺科技 +3.5%
IT服务Ⅱ,核心中军,1,紫光股份,000938,6695067933.82,紫光股份 67.0亿
IT服务Ⅱ,核心中军,2,华胜天成,600410,2476488062.0,华胜天成 24.8亿
IT服务Ⅱ,核心中军,3,大位科技,600589,1608549300.0,大位科技 16.1亿
专业工程,1日先锋,1,镇海股份,603637,5.04,镇海股份 +5.0%
专业工程,1日先锋,2,北方国际,000065,1.11,北方国际 +1.1%
专业工程,1日先锋,3,利柏特,605167,0.69,利柏特 +0.7%
专业工程,3日动能,1,镇海股份,603637,3.685503685503666,镇海股份 +3.7%
专业工程,3日动能,2,东华科技,002140,2.625102543068092,东华科技 +2.6%
专业工程,3日动能,3,中国化学,601117,2.502979737783062,中国化学 +2.5%
专业工程,5日趋势,1,镇海股份,603637,2.3030303030302957,镇海股份 +2.3%
专业工程,5日趋势,2,东华科技,002140,0.48192771084338837,东华科技 +0.5%
专业工程,5日趋势,3,中国化学,601117,0.2331002331002363,中国化学 +0.2%
专业工程,核心中军,1,中国化学,601117,758588953.0,中国化学 7.6亿
专业工程,核心中军,2,中工国际,002051,419429070.86,中工国际 4.2亿
专业工程,核心中军,3,中材国际,600970,344789436.0,中材国际 3.4亿
专业连锁Ⅲ,1日先锋,1,天音控股,000829,2.01,天音控股 +2.0%
专业连锁Ⅲ,1日先锋,2,爱婴室,603214,1.27,爱婴室 +1.3%
专业连锁Ⅲ,1日先锋,3,爱施德,002416,0.36,爱施德 +0.4%
专业连锁Ⅲ,3日动能,1,爱施德,002416,4.714828897338408,爱施德 +4.7%
专业连锁Ⅲ,3日动能,2,爱婴室,603214,3.987538940809965,爱婴室 +4.0%
专业连锁Ⅲ,3日动能,3,天音控股,000829,1.3864818024263537,天音控股 +1.4%
专业连锁Ⅲ,5日趋势,1,爱婴室,603214,5.833861762840842,爱婴室 +5.8%
专业连锁Ⅲ,5日趋势,2,爱施德,002416,1.6236162361623618,爱施德 +1.6%
专业连锁Ⅲ,5日趋势,3,天音控股,000829,-3.6243822075782695,天音控股 -3.6%
专业连锁Ⅲ,核心中军,1,天音控股,000829,565679172.3,天音控股 5.7亿
专业连锁Ⅲ,核心中军,2,爱施德,002416,362185487.99,爱施德 3.6亿
