行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
电池化学品,11.771211115527711,5.5278864055729775,0.3823076923076923,7.242798946198459,13.686978274515415,14.275159103441126,0.5384615384615384,1,38857344318.159996,13,0.40446521217120446,领涨,右上加速,93.3
有色金属,7.692346981032775,2.0163024519510544,2.8271428571428574,6.385538167762106,11.936377630772554,10.081349357658208,0.6190476190476191,5,41573317853.119995,21,0.3529153264344236,领涨,右上加速,90.3
纺织服饰,3.1708973690124225,2.55990856808498,1.9085416666666666,3.5318520981402868,6.44266151569135,6.285520388109722,0.7708333333333334,2,8300341642.17,48,0.34631210559931835,领涨,右上加速,90.2
纺织服装设备,3.98818419278358,2.701774611688837,0.355,3.4048102679203662,7.878602341517293,5.347064848619021,0.625,1,2472796599.03,8,0.22015680071522592,领涨,右上加速,88.7
工程机械,8.79831589999572,4.680743932845749,2.686,7.057690345126377,10.488847011488446,13.516948475430834,0.6,1,1796815370.0,5,-0.0621874411227028,领涨,右上加速,88.5
房地产,2.3246232264933018,1.876527988581062,2.1596825396825396,4.447347752151587,5.0425445235117605,4.765723938943323,0.7777777777777778,4,17280430628.47,63,0.3622430021757961,领涨,右上加速,86.7
预加工食品,3.1595450410752144,3.9963268904319507,0.33799999999999997,1.5386035700959866,4.8739067413456905,5.5214874175324224,0.4,1,2617168613.12,10,0.7804393445846514,领涨,右上加速,85.2
农用机械,3.618777818460169,4.510207410157384,-0.08000000000000002,3.7048129753999737,7.520719977182888,5.551345982827227,0.5,0,335126888.93,4,0.5206668118205475,领涨,右上加速,84.9
电子化学品Ⅱ,11.657812797214556,2.8362570282170463,1.082857142857143,0.8574201538291693,6.088029736288303,15.411357064987463,0.5714285714285714,0,11069470908.630001,7,0.2693786359356769,领涨,左下退潮,84.7
电商服务,4.149381167874438,2.7664779899138963,-0.625,0.38889803281250135,5.293578973652591,5.564526157164029,0.5,0,1394110833.5700002,4,0.7180319360417684,领涨,左上修复,83.2
石油石化,2.045871829105909,2.683721930517214,1.2976470588235294,5.34648252186638,4.807810033216997,5.251608679550457,0.5294117647058824,1,11269692913.59,17,0.14775609364033415,领涨,右上加速,83.1
电子,4.967481063394619,0.7526520551372421,2.1093333333333333,1.2295904335854368,4.393454657505336,6.285735684217486,0.9,1,78797294552.14,30,0.3069539313695746,领涨,左上修复,82.8
其他家电Ⅱ,0.798139364580767,4.581344003042865,0.42500000000000004,-2.5550594029374873,3.3014127093269563,0.8378599763791295,1.0,0,273550439.75,2,0.4165895821091503,领涨,左上修复,81.4
煤炭,6.172207905868876,6.969677826086219,0.1706666666666667,5.270453429399691,5.148292355110984,9.478681197272042,0.4666666666666667,0,8536122206.35,15,-0.00782997216023007,领涨,右上加速,81.3
焦煤,4.786393762721801,8.514424812149457,-0.15500000000000003,2.653060788938011,3.8124343121821003,7.89029041692344,0.4,0,3517338379.49,10,0.3074031987418795,领涨,右下降温,81.1
水泥,0.48668282867415275,2.8432285856484785,1.5533333333333335,3.567001832783556,4.510373297087411,3.1014559562617006,0.7777777777777778,0,1002971704.76,9,0.4416743538827501,领涨,右上加速,81.0
综合包装,1.445968178593134,2.1100120373324946,-0.16999999999999993,1.7305845042999923,4.463445297390778,2.281300533340569,0.75,0,361304126.0,4,0.368790306030675,领涨,右上加速,80.1
啤酒,2.487616858276816,3.385424299068232,0.01571428571428576,1.823326212754517,2.8080081070473772,4.6251470954692175,0.7142857142857143,0,1702968783.84,7,0.22683382648061734,领涨,右上加速,80.1
食品饮料,0.9014753723488181,1.233168633330475,1.6386666666666665,3.498996940847232,3.477062315626367,3.229667525592639,0.6666666666666666,1,11454130727.72,30,1.0424546621894426,领涨,右上加速,79.2
综合,1.056546388628532,2.7175285188045883,-0.598235294117647,3.052342227552951,3.4917149280064397,2.3542568030258337,0.4117647058823529,1,8999887627.3,17,0.45889199084438825,领涨,右上加速,79.0
其他饰品,4.7471542820104835,7.264908058159512,-2.505,3.9688488532250155,9.617299664377676,4.078157465243404,0.0,0,575112027.0,2,4.708229665483129,领涨,右上加速,78.8
白色家电,3.42842395923156,3.1684251541184647,0.2733333333333334,5.225745026133333,5.58023302350219,5.527871665034789,0.3333333333333333,0,6339341296.17,3,0.38117079912999885,领涨,右上加速,78.7
化学原料,1.5526644469520197,3.8203589699026725,-0.31,2.3145616593235996,3.2603272435169917,3.7445092679577296,0.3870967741935484,1,16038919892.63,31,0.13578753639496188,领涨,右上加速,77.9
调味发酵品Ⅱ,3.558813865963676,3.293839379958275,-1.2330769230769232,3.1398886160532324,4.320441134411523,5.0533098795833675,0.3076923076923077,0,9170791146.74,13,0.6787617111391959,领涨,右上加速,77.6
家居用品,-0.004080138247849104,1.4000976377314445,1.4183333333333332,1.77700941100003,4.333087706744565,0.2739691546353562,0.625,1,3227660123.2400002,24,0.31350769215998997,修复,右上加速,76.9
建筑材料,2.3505107470018625,1.3214865974988308,0.16391304347826088,2.9252135807017465,4.015924793608061,2.8048532723730313,0.43478260869565216,1,6216449016.88,23,0.3332233280557546,领涨,右上加速,76.9
工程机械整机,1.849901416411141,2.30092171178962,-0.25588235294117645,2.4069615958719925,4.156532657992895,1.8455015398914476,0.29411764705882354,1,9390135409.76,17,0.3141507375763595,领涨,右上加速,76.8
