行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分,主线家族,题材层级,个体活跃分,家族强度,家族共振度,家族排名,家族内排名,题材地位
其他养殖,5.299079466079319,8.297695089338118,0.40066666666666667,-5.059548385438395,0.43141977425582567,2.1556203239234684,0.6666666666666666,0,100594441.0,3,-0.04859139183169925,领涨,左下退潮,75.0,农业养殖,微型题材,84.1,73.5,32.4,1,1,独立异动
贵金属,2.1374337213386476,8.169597384993821,1.8691,-5.8218570401298635,7.349668333370185,-1.3117147573799448,0.7,1,12015790493.0,10,-0.03296991339534672,领涨,左上修复,74.9,资源化工,细分题材,88.5,63.5,17.6,6,1,独立异动
医药流通,3.838214145331572,4.58573364032901,0.9831363636363637,-0.6176241153108886,2.5301292237626782,-0.21960951341224444,0.6818181818181818,1,1941931225.0,22,-0.08742759905352049,领涨,右上加速,74.6,医药医疗,细分题材,85.7,69.6,23.6,4,1,独立异动
交通运输,3.5924554033228326,2.8537095462502147,0.13789230769230765,-1.1316000293398853,0.8012450442185237,0.18768470119252534,0.49230769230769234,1,8531079581.0,65,-0.16911657909069022,领涨,右上加速,73.5,交通物流,宽基主线,76.7,71.3,39.6,3,1,主线扩散
航运港口,2.5735100242948596,3.328067140291818,0.5176875,-0.31203446044468786,1.8356572838645668,-0.9722851213759709,0.8125,0,1728728045.0,16,-0.07770956553790087,领涨,右上加速,72.9,交通物流,细分题材,75.9,71.3,39.6,3,2,主线扩散
零食,3.3095054647865516,5.237354505239403,0.03599999999999999,-0.392780946003779,2.1937030388985646,-0.13473591385910755,0.2727272727272727,0,1259039680.0,11,0.10962652642191117,领涨,右上加速,72.8,大消费,细分题材,77.9,73.2,35.4,2,2,轮动跟随
油服工程,1.0065356611188048,4.212644276328383,4.686875,0.7832935807376096,1.8607821831605031,0.8916694161687166,0.875,1,2545472762.0,8,0.7503272520379822,领涨,右上加速,72.4,地产基建,细分题材,82.6,61.0,39.5,8,1,独立异动
自然景区,2.7425191943122833,2.248442679101468,1.6764999999999999,-1.2558916584342827,-0.12440976631699074,1.0598406760091938,0.8333333333333334,1,1456199382.0,12,0.4636705465689601,领涨,右上加速,72.4,大消费,细分题材,77.4,73.2,35.4,2,3,轮动跟随
粮油加工,3.075623716803618,3.8800737445291347,0.218,-1.121553935330799,1.2405026853739676,0.262318612938639,0.7142857142857143,0,304933036.0,7,-0.12914543276861734,领涨,右上加速,72.3,大消费,细分题材,77.2,73.2,35.4,2,4,轮动跟随
医药商业,3.5585236426129394,5.024507007273229,0.14412499999999995,-1.0990494077577795,2.2519575992139274,0.26812446699204795,0.75,0,757598877.0,8,-0.05591339633727521,领涨,右上加速,72.2,医药医疗,细分题材,82.4,69.6,23.6,4,2,独立异动
跨境物流,2.1949123099689474,6.227558857399053,-0.16653846153846155,-3.068150444424911,0.4582347439449519,-0.13863203083037678,0.46153846153846156,0,679814854.0,13,-0.19645781087999348,领涨,右上加速,72.2,交通物流,细分题材,74.9,71.3,39.6,3,3,主线扩散
农业综合Ⅱ,2.6008907435992015,3.7761255375338574,-1.040333333333333,4.140316453929294,4.09353240493826,0.631876907385065,0.3333333333333333,0,250638009.0,3,1.1410210885281122,领涨,右上加速,72.1,农业养殖,微型题材,77.3,73.5,32.4,1,2,轮动跟随
煤炭,2.6299386061854855,7.140761391450751,0.7722,1.5309810037856142,4.2887998313432485,1.0398509387602006,0.6666666666666666,0,8128013771.0,15,0.015345232293617173,领涨,右上加速,72.0,资源化工,宽基主线,84.4,63.5,17.6,6,2,独立异动
摩托车及其他,8.277163037203191,3.977182609765059,0.6876666666666666,1.6707522279356235,3.8592947307711567,5.382643126537001,0.4444444444444444,0,2295601456.0,9,0.29018479147481213,领涨,右上加速,72.0,汽车机器人,细分题材,83.6,64.4,21.9,5,1,独立异动
个护用品,6.629908910447916,1.6803694724139326,0.652888888888889,0.2887424827285878,2.5009460538349737,3.9771412544149065,0.5555555555555556,0,881538423.0,9,0.38678151401070227,领涨,右下降温,72.0,大消费,细分题材,76.8,73.2,35.4,2,5,轮动跟随
动物保健Ⅲ,10.1436658772527,3.2400356982339,-0.8923076923076925,-0.8843099318905479,2.251344177311765,4.439983497194833,0.3076923076923077,0,1813771010.0,13,0.0008316228819740257,领涨,右上加速,71.7,农业养殖,细分题材,76.7,73.5,32.4,1,3,轮动跟随
辅料,18.780957909802453,-2.1024478842214935,4.43575,6.738498364877543,13.562456927300627,17.882686659646296,0.75,1,993621297.0,4,0.04489372621185295,走弱,右上加速,71.5,大消费,微型题材,76.1,73.2,35.4,2,6,高位降温
旅游及景区,-0.9911923116910691,3.6756096928588278,3.074,-0.3828348727901276,1.0350291621323615,-1.066936789747308,0.8333333333333334,1,1908908007.0,12,0.9451495167260766,修复,右上加速,71.4,大消费,细分题材,76.0,73.2,35.4,2,7,修复观察
油气开采Ⅱ,-0.5480140922758318,6.946206517955837,3.1244,2.324855753833388,6.1006355031839155,-3.49723655975418,0.8,1,3272536695.0,5,0.2339102179476522,修复,右上加速,71.3,资源化工,微型题材,83.5,63.5,17.6,6,3,独立异动
美容护理,6.67394001769411,5.898661834695029,-0.763,-3.4171898573956416,-0.8330228179895927,4.6282016607047005,0.4,0,1733690349.0,15,0.041164799451222756,领涨,右下降温,71.1,大消费,细分题材,78.3,73.2,35.4,2,1,独立异动
食品饮料,2.3484586179684777,3.272915589422476,0.34989743589743594,-1.4394544531342257,0.38315422839130253,-0.9770224620591628,0.4358974358974359,2,4756095243.0,39,-0.12689200954671642,领涨,右上加速,70.7,大消费,宽基主线,75.0,73.2,35.4,2,8,轮动跟随
医药生物,5.614244770614356,4.7934864651643165,-0.8125982142857142,-3.9009271772316056,-1.1291168831142562,-0.3088851078197452,0.35714285714285715,3,56599817919.0,224,-0.007023846668287148,领涨,右下降温,70.5,医药医疗,宽基主线,80.0,69.6,23.6,4,3,独立异动
文化用品,4.31538013507351,4.884397574080282,-0.6869999999999999,-2.380607911267685,0.027601508336605463,1.8009577133063503,0.4,0,330904363.0,5,-0.1854460831614304,领涨,右上加速,70.4,大消费,微型题材,74.6,73.2,35.4,2,9,轮动跟随
粮食种植,-1.1704173430046039,5.7999407952003255,3.0505000000000004,1.4920042731192407,3.491713379368133,3.3362665522676416,1.0,0,461921890.0,2,-0.07615634915334235,修复,右上加速,70.3,农业养殖,微型题材,74.8,73.5,32.4,1,4,修复观察
餐饮,1.411815032521598,4.222077291863314,0.28300000000000003,-2.9201579493703056,0.17611343294223758,-1.6675551497313257,0.75,0,143233920.0,4,0.06775157011426769,领涨,右上加速,70.3,大消费,微型题材,74.4,73.2,35.4,2,10,轮动跟随
股份制银行Ⅲ,2.6209773497953393,1.7209747888206814,0.8128888888888889,2.3600106094385787,4.241969397510159,-0.06914786472319578,0.8888888888888888,0,7978588112.0,9,-0.16229319267091002,领涨,右上加速,69.8,金融,细分题材,71.9,64.4,64.2,5,1,轮动跟随
涂料,2.87764575035474,5.632332867916793,1.0665,-1.3784177848235157,2.210248599869402,4.696276287306822,0.5,0,261529277.0,2,0.0604300935184503,领涨,右上加速,69.8,资源化工,微型题材,81.4,63.5,17.6,6,4,独立异动
教育出版,2.5925976895914657,2.5685058728651344,0.48580000000000007,0.4473536016515789,1.7720694372148404,0.188866086647832,0.7,0,501097700.0,10,-0.054597170425511266,领涨,右上加速,69.4,大消费,细分题材,73.2,73.2,35.4,2,11,轮动跟随
综合电商,2.727073898391707,4.595382119591442,1.633,-4.378671431523006,-0.3922421679596111,-1.046999495533496,1.0,0,196810799.0,3,-0.31292844929456753,领涨,右上加速,69.3,大消费,微型题材,73.0,73.2,35.4,2,12,轮动跟随
银行Ⅱ,2.65632748695653,0.7117577098849921,0.7665217391304348,3.0163512053692942,3.788125533447051,0.5678712932078778,0.782608695652174,0,16774656956.0,23,0.021178267393960226,领涨,右上加速,69.1,金融,宽基主线,70.9,64.4,64.2,5,2,轮动跟随
印染,4.447086993401979,7.643182235359692,-2.508,-6.449573977075906,1.8775905296887219,-0.9652375435174498,0.25,0,442934542.0,4,0.05815590619804989,领涨,左上修复,69.1,资源化工,微型题材,80.4,63.5,17.6,6,5,独立异动
厨房小家电,3.5877402672842784,5.84875478295545,-1.3195999999999999,-3.3942413724627363,0.33503454125178855,0.18203250159183337,0.2,0,527525039.0,10,-0.11288654452019786,领涨,右上加速,69.1,大消费,细分题材,72.7,73.2,35.4,2,13,轮动跟随
成品家居,3.640722134563383,1.128041888157167,0.5248235294117647,-1.5617125812888988,-0.33037178728316796,1.4494985673516592,0.5294117647058824,2,1803701987.0,17,0.07179638487190743,领涨,右上加速,68.8,大消费,细分题材,72.4,73.2,35.4,2,14,轮动跟随
人力资源服务,1.7738434349487224,3.2109982662356775,0.6053333333333333,-1.2980480731229593,0.5941880510425657,0.6143661234062847,0.6666666666666666,0,117217404.0,3,-0.055617144918418515,领涨,右上加速,68.7,大消费,微型题材,72.2,73.2,35.4,2,15,轮动跟随
电信运营商,1.6577342208634789,2.762749299524657,1.208,1.9663677878839936,3.3063862028666957,0.8639923602319577,1.0,0,1841187432.0,3,-0.09987914485321892,领涨,右上加速,68.6,AI数字经济,微型题材,73.9,62.9,40.4,7,1,轮动跟随
农商行Ⅲ,2.9779957280610634,2.325570634459194,0.5293,2.0367604316420485,3.7947690595950823,1.0635421739513484,0.8,0,1447877513.0,10,0.027372511856107007,领涨,右上加速,68.3,其他主题,细分题材,76.1,59.6,27.9,9,1,轮动跟随
非白酒,2.3542514299278228,4.955747280135017,0.24077777777777787,-2.565017791409885,0.0996784147387908,0.7840121086450935,0.5555555555555556,0,485192771.0,9,-0.3594483398909054,领涨,右上加速,68.3,大消费,细分题材,71.6,73.2,35.4,2,16,轮动跟随
食用菌,2.002227928980068,5.897230711844017,-0.23399999999999999,-6.6527485139173725,-0.08823027262714334,-1.7929319512691055,0.25,0,432478930.0,4,0.04621717273480885,领涨,左上修复,68.2,农业养殖,微型题材,71.8,73.5,32.4,1,5,轮动跟随
农用机械,4.814592180922084,7.139531814855573,-1.3646,-4.768172115307201,0.6893457612185072,-0.07250231028040899,0.1,1,530999513.0,10,0.1682914820636734,领涨,右上加速,67.6,高端制造军工,细分题材,80.8,58.0,9.7,10,1,独立异动
横向通用软件,-3.436438359754675,5.459860569935607,3.5119428571428575,-0.624598149726896,-1.227874966523279,1.0469324348101106,0.8285714285714286,4,16171871024.0,35,0.8261018255555608,修复,右下降温,67.4,AI数字经济,细分题材,72.3,62.9,40.4,7,2,修复观察
租赁,3.7205990937917357,3.0742991719983412,-1.953,-1.9697428848350684,1.0395750311487983,-0.6127035945696635,0.3333333333333333,0,1131886407.0,3,0.40902466963939466,领涨,右上加速,67.3,其他主题,微型题材,74.7,59.6,27.9,9,2,轮动跟随
快递,10.403746169190295,7.9536823420400244,-2.02725,-0.8794392891229186,-0.6463681474102034,9.131162801783166,0.0,0,1662449934.0,4,-0.2692587407206851,领涨,右下降温,67.1,交通物流,微型题材,67.8,71.3,39.6,3,4,主线扩散
金融控股,3.928080330913645,2.061795339323703,0.08333333333333338,-0.7323308247872751,-1.213835670262442,-0.8482421206679414,0.5555555555555556,0,2203929884.0,9,0.043673881832265726,领涨,右上加速,67.1,金融,细分题材,68.2,64.4,64.2,5,3,轮动跟随
焦煤,-2.3335594046758814,7.225602491324229,1.0069,-0.0029594648221942244,2.1372124436685347,-2.3345929810730803,0.9,0,2495689148.0,10,0.07230717262996667,修复,右上加速,66.9,资源化工,细分题材,74.6,63.5,17.6,6,6,修复观察
其他饰品,3.1248116134973505,5.379758575951242,2.578,-4.353854521085543,-3.3268793611050174,5.433641207191342,1.0,0,81762746.0,2,-0.1791766552782692,领涨,右下降温,66.8,大消费,微型题材,69.5,73.2,35.4,2,17,退潮防守
其他家电Ⅱ,1.7635326680331298,4.685314196630858,-1.0533333333333335,-3.3854899074844513,0.025129470313989266,-2.876997613179866,0.3333333333333333,0,105593256.0,3,-0.13473662310325907,领涨,右上加速,66.6,大消费,微型题材,69.3,73.2,35.4,2,18,轮动跟随
纺织制造,5.797629190293925,4.7839929105237475,-0.9220000000000002,-2.5775135231320023,0.6710771606696531,-0.21228422715916517,0.125,0,872220884.0,8,-0.3107302118921563,领涨,右上加速,66.5,大消费,细分题材,69.2,73.2,35.4,2,19,轮动跟随
厨卫电器,3.754527991912493,5.530436767280686,-1.7753333333333332,-3.7304124217146684,-2.890594393953194,1.6009364283983363,0.6666666666666666,0,168260772.0,3,-0.28165150621205626,领涨,右下降温,66.3,大消费,微型题材,68.9,73.2,35.4,2,20,轮动跟随
洗护用品,0.80369193545912,4.376258511032626,-0.56475,-2.6221393644730306,-0.020623662119467756,-2.827295577582234,0.5,0,122693344.0,4,-0.19728819129084485,领涨,右上加速,65.3,大消费,微型题材,67.5,73.2,35.4,2,21,轮动跟随
多业态零售,0.9213174771619764,3.445541115675313,0.6262666666666665,-2.600579845232509,-0.8306110895377805,-3.27301233453261,0.5333333333333333,1,913208338.0,15,-0.29653567363540034,领涨,右上加速,65.1,大消费,细分题材,67.2,73.2,35.4,2,22,轮动跟随
造纸,3.8770380532036888,4.26836522066354,-2.1556153846153845,-3.0193096928630037,-1.0308719247210996,0.3569523975608835,0.15384615384615385,0,1774407660.0,13,-0.05459325987643071,领涨,右上加速,65.1,大消费,细分题材,67.2,73.2,35.4,2,23,轮动跟随
其他生物制品,6.486250092094092,4.672311598274627,-1.954421052631579,-4.7379132492408775,-2.9818723679576276,-0.47755857610275454,0.2894736842105263,0,10451843937.0,38,0.06778202170003067,领涨,左下退潮,64.6,医药医疗,细分题材,69.0,69.6,23.6,4,4,轮动跟随
视频媒体,5.349741282309132,-0.5713639388601827,1.224,-0.9315249952959737,-0.5349706324244141,1.7765966500780328,1.0,0,205541531.0,1,0.3805377458997714,走弱,右上加速,64.5,AI数字经济,微型题材,68.2,62.9,40.4,7,3,高位降温
航海装备Ⅲ,4.029503417606633,3.577323421638844,-0.8229,-2.4578305959391367,0.8490676654698825,-1.6188622129870267,0.2,0,10777401621.0,10,0.3958622131669536,领涨,右上加速,64.4,高端制造军工,细分题材,73.6,58.0,9.7,10,2,轮动跟随
汽车服务,1.5109424910537388,3.4712956266804134,0.4948,-1.5006309782716776,0.7431258612558889,-2.114637511176909,0.6,0,123875706.0,5,-0.17373993941145383,领涨,右上加速,64.2,汽车机器人,微型题材,70.0,64.4,21.9,5,2,轮动跟随
大宗用纸,1.854103935501347,5.705970136802361,-1.7451818181818182,-4.592049650648211,0.6007730517354926,-2.457424239918038,0.09090909090909091,0,996272784.0,11,-0.1970261307947344,领涨,右上加速,64.2,大消费,细分题材,65.9,73.2,35.4,2,24,轮动跟随
血液制品,0.4568958689754716,6.377702781868979,-0.10166666666666664,-2.7199488074505007,-0.19947954124146516,-1.4938379932896928,0.3333333333333333,0,690839927.0,6,-0.08064633369700325,领涨,右上加速,64.2,医药医疗,细分题材,68.5,69.6,23.6,4,5,轮动跟随
家居用品,0.3234033891610995,5.078632159741713,-1.4463055555555555,-4.36928786292885,-0.9389985158615888,-4.279909212140554,0.3055555555555556,0,2834481617.0,36,-0.018526796622969632,领涨,右上加速,63.8,大消费,细分题材,65.4,73.2,35.4,2,25,轮动跟随
肉制品,4.630147631196675,2.552977507952413,-1.042857142857143,-0.9981083555040127,-0.12043803978852852,-0.8417913796301302,0.2857142857142857,0,1204735886.0,7,-0.26445305755025783,领涨,右上加速,63.5,大消费,细分题材,65.0,73.2,35.4,2,26,轮动跟随
纺织服饰,2.1658109308662077,3.6057222006920564,-1.3525081967213115,-5.230281423889105,-1.8247065750928715,-3.4624967563967157,0.26229508196721313,0,6195424664.0,61,0.07333804377510078,领涨,左上修复,63.0,大消费,宽基主线,64.3,73.2,35.4,2,27,轮动跟随
冰洗,3.241331865559468,3.859161241008976,0.09128571428571429,-4.530721722418296,-1.989969546682524,1.4163037237433285,0.42857142857142855,0,1075465802.0,7,-0.3633026856414703,领涨,右下降温,62.7,大消费,细分题材,63.8,73.2,35.4,2,28,轮动跟随
农林牧渔,3.4709512241601086,4.176067137485081,-1.3219318181818183,-2.3719828152778843,-2.075598485445662,1.1627014081243114,0.22727272727272727,0,8882758332.0,44,-0.15554562752046508,领涨,右下降温,62.2,农业养殖,宽基主线,63.5,73.5,32.4,1,6,轮动跟随
饲料,5.962169546729938,5.480924526993907,-1.9460000000000002,-2.34691980543259,-1.9722149969137015,3.91892476875777,0.07692307692307693,0,1436399978.0,13,-0.2654988834727233,领涨,右下降温,62.1,农业养殖,细分题材,63.4,73.5,32.4,1,7,轮动跟随
医疗器械,4.06967491174451,2.3930616718740425,-0.9902340425531915,-4.5148142745597415,-2.5025732412292334,-1.9739391755243085,0.3404255319148936,0,11031939920.0,94,0.1757739331216024,领涨,左下退潮,61.3,医药医疗,宽基主线,64.4,69.6,23.6,4,6,轮动跟随
纺织鞋类制造,7.849927343031797,2.2112692195196004,-1.061,-2.0677961403920087,0.4246441113777255,3.4293494631901345,0.0,0,38637237.0,1,-0.13912144193406406,领涨,右上加速,61.2,大消费,微型题材,61.8,73.2,35.4,2,30,轮动跟随
彩电,4.648222271788206,0.7540140667663754,-0.9015,-0.2416354088563999,-0.3143297842814752,0.8935550217665345,0.25,0,2435498986.0,4,-0.06040003165196817,领涨,右上加速,61.2,大消费,微型题材,61.8,73.2,35.4,2,29,轮动跟随
石油石化,3.6005661884265536,2.8146947365581885,-0.5655882352941176,-2.9656676580037233,-1.584733300734309,-2.6159529070242438,0.47058823529411764,0,8189606941.0,17,-0.12367316995386513,领涨,右上加速,61.2,资源化工,宽基主线,66.7,63.5,17.6,6,7,轮动跟随
超市,0.5680373257693808,3.1606926540449565,1.5475714285714286,-1.781719973953655,-1.737120947203541,-1.1413164699196288,0.42857142857142855,1,1160920824.0,7,-0.317839747165923,领涨,右下降温,61.2,大消费,细分题材,61.8,73.2,35.4,2,31,轮动跟随
产业地产,1.7449091714013691,3.0986374957572322,0.5057,-2.4604023213236403,-1.0659814142127022,-1.4385580367627826,0.7,0,1321656690.0,10,-0.3619468074488852,领涨,右上加速,60.9,地产基建,细分题材,63.8,61.0,39.5,8,2,轮动跟随
基建市政工程,1.6906322310993833,2.5851161835794207,-0.21470370370370376,-2.7299306758379327,-1.027794743406285,-2.145587208668731,0.5925925925925926,0,3689867001.0,27,-0.21271837971814478,领涨,右上加速,60.5,地产基建,细分题材,63.3,61.0,39.5,8,3,轮动跟随
商用载货车,1.980542864099566,3.942052906837539,-1.4028749999999999,-2.9024085046372217,1.1598173409550272,-1.9364074920567353,0.125,0,2513538318.0,8,-0.19635892288616763,领涨,右上加速,60.4,汽车机器人,细分题材,64.8,64.4,21.9,5,3,轮动跟随
水泥制造,2.6159077980287306,2.4294714318536257,-0.4645,-3.6054460421350853,-0.5696348241030158,-1.480309843242411,0.5,0,1644290731.0,14,-0.3566406309405662,领涨,右上加速,60.3,地产基建,细分题材,63.0,61.0,39.5,8,4,轮动跟随
烘焙食品,0.69617172616712,2.5633965016498728,0.4744444444444444,-3.0724382702331465,-0.6877490451322799,-2.2383307490971283,0.5555555555555556,0,374114780.0,9,-0.24078890201848657,领涨,右上加速,60.2,大消费,细分题材,60.4,73.2,35.4,2,32,轮动跟随
白色家电,4.387278942622511,-1.1490175879497513,-0.4503333333333334,-0.41463023030868795,-0.06148905678783345,1.900796877921751,0.6666666666666666,0,3910447067.0,3,-0.3787006202439127,走弱,右上加速,59.5,大消费,微型题材,59.4,73.2,35.4,2,33,高位降温
机场,2.3861047303587104,0.6412707865708493,0.10719999999999999,-0.9453904998910634,-0.4965682366652735,0.7066672282210584,0.4,0,568324772.0,5,-0.2681223812033129,领涨,右上加速,59.4,交通物流,微型题材,57.1,71.3,39.6,3,5,主线扩散
多元金融,1.3301100056399395,1.39071495756541,0.7130909090909091,-3.1103725929854997,-2.4572293187105854,-3.6180439626230076,0.6363636363636364,0,1792628991.0,11,-0.02032542165666873,领涨,右上加速,59.3,金融,细分题材,57.4,64.4,64.2,5,4,轮动跟随
啤酒,-2.248099209134891,3.725818863233947,-0.0687142857142857,-1.969049039434212,-0.1366587678254816,-3.575410964340553,0.42857142857142855,0,871208321.0,7,-0.20718356798898963,修复,右上加速,58.7,大消费,细分题材,58.3,73.2,35.4,2,35,修复观察
卫浴制品,3.384179253332927,1.3748302743620118,-1.320142857142857,-4.768536281664515,-2.251775414332857,-0.7107979750755611,0.2857142857142857,0,367231579.0,7,0.0534814245654871,领涨,左下退潮,58.7,大消费,细分题材,58.3,73.2,35.4,2,34,轮动跟随
商业地产,-0.3484031735170568,1.9975266198729715,1.6692,-0.7376893285894526,0.3946465442881131,-2.859468546347399,1.0,0,959879984.0,10,-0.27506075188752344,修复,右上加速,58.6,地产基建,细分题材,60.7,61.0,39.5,8,5,修复观察
调味发酵品Ⅱ,2.5567978671224254,0.6335536653862782,0.017666666666666647,-1.7788356293446994,-0.5239604850304058,-2.6167255206575923,0.5333333333333333,0,3199085382.0,15,-0.32212269015916084,领涨,右上加速,58.5,大消费,细分题材,58.1,73.2,35.4,2,36,轮动跟随
家用电器,4.463928343933247,2.683778348876132,-1.9707560975609757,-6.633955275387127,-4.18930199756109,-1.1525717807612468,0.14634146341463414,1,13388489095.0,41,-0.15053065677415745,领涨,左下退潮,58.3,大消费,宽基主线,57.7,73.2,35.4,2,37,退潮防守
其他农产品加工,-0.30086506210645564,4.710848415706377,-0.6314166666666667,-3.8311438617100624,-1.954322906982342,-4.342412362695846,0.3333333333333333,0,695068756.0,12,-0.3630321511102671,修复,右上加速,57.2,农业养殖,细分题材,56.6,73.5,32.4,1,8,修复观察
环保,1.5672699436557396,2.5267860766327597,-1.4399324324324323,-3.372828141702322,-2.761219045456065,-3.78656624630912,0.3108108108108108,1,7157161653.0,74,0.12188961446305746,领涨,右上加速,57.1,环保公用,宽基主线,62.8,57.5,15.8,11,1,轮动跟随
酒店餐饮,0.12531546055848755,1.8985317309909442,-0.03400000000000003,-2.133099918489223,-2.2798238741007837,-3.686531880383692,0.6,0,565241644.0,5,-0.040278380099617817,领涨,右上加速,57.0,大消费,微型题材,55.9,73.2,35.4,2,38,轮动跟随
