行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,网宿科技,300017,19.967,网宿科技 +20.0%
IT服务Ⅱ,1日先锋,2,飞利信,300287,13.905,飞利信 +13.9%
IT服务Ⅱ,1日先锋,3,并行科技,920493,11.558,并行科技 +11.6%
IT服务Ⅱ,3日动能,1,网宿科技,300017,15.161036920659864,网宿科技 +15.2%
IT服务Ⅱ,3日动能,2,紫光股份,000938,11.030383091149254,紫光股份 +11.0%
IT服务Ⅱ,3日动能,3,当虹科技,688039,7.713498622589543,当虹科技 +7.7%
IT服务Ⅱ,5日趋势,1,紫光股份,000938,12.328767123287655,紫光股份 +12.3%
IT服务Ⅱ,5日趋势,2,网宿科技,300017,9.812734082397,网宿科技 +9.8%
IT服务Ⅱ,5日趋势,3,荣联科技,002642,7.54414125200642,荣联科技 +7.5%
IT服务Ⅱ,核心中军,1,紫光股份,000938,16415139488.0,紫光股份 164.2亿
IT服务Ⅱ,核心中军,2,网宿科技,300017,4050609651.0,网宿科技 40.5亿
IT服务Ⅱ,核心中军,3,云天励飞-U,688343,2651579970.0,云天励飞-U 26.5亿
专业工程,1日先锋,1,三联虹普,300384,3.419,三联虹普 +3.4%
专业工程,1日先锋,2,中钢国际,000928,1.033,中钢国际 +1.0%
专业工程,1日先锋,3,中材国际,600970,-0.14,中材国际 -0.1%
专业工程,3日动能,1,三联虹普,300384,-0.49342105263158187,三联虹普 -0.5%
专业工程,3日动能,2,中国化学,601117,-2.251655629139071,中国化学 -2.3%
专业工程,3日动能,3,中材国际,600970,-2.3255813953488413,中材国际 -2.3%
专业工程,5日趋势,1,三联虹普,300384,2.8037383177570208,三联虹普 +2.8%
专业工程,5日趋势,2,中材国际,600970,1.2765957446808418,中材国际 +1.3%
专业工程,5日趋势,3,中钢国际,000928,-2.395209580838331,中钢国际 -2.4%
专业工程,核心中军,1,中工国际,002051,446526919.0,中工国际 4.5亿
专业工程,核心中军,2,中国化学,601117,417565798.0,中国化学 4.2亿
专业工程,核心中军,3,中材国际,600970,132076783.0,中材国际 1.3亿
专业连锁Ⅲ,1日先锋,1,天音控股,000829,2.578,天音控股 +2.6%
专业连锁Ⅲ,1日先锋,2,孩子王,301078,0.154,孩子王 +0.2%
专业连锁Ⅲ,1日先锋,3,爱施德,002416,0.0,爱施德 +0.0%
专业连锁Ⅲ,3日动能,1,天音控股,000829,-0.26385224274406704,天音控股 -0.3%
专业连锁Ⅲ,3日动能,2,爱施德,002416,-3.960396039603953,爱施德 -4.0%
专业连锁Ⅲ,3日动能,3,爱婴室,603214,-4.750957854406135,爱婴室 -4.8%
专业连锁Ⅲ,5日趋势,1,爱婴室,603214,-1.1137629276054106,爱婴室 -1.1%
专业连锁Ⅲ,5日趋势,2,吉峰科技,300022,-2.749999999999997,吉峰科技 -2.7%
专业连锁Ⅲ,5日趋势,3,爱施德,002416,-3.107658157602655,爱施德 -3.1%
专业连锁Ⅲ,核心中军,1,天音控股,000829,137436710.0,天音控股 1.4亿
专业连锁Ⅲ,核心中军,2,爱施德,002416,136061605.0,爱施德 1.4亿
专业连锁Ⅲ,核心中军,3,孩子王,301078,130628272.0,孩子王 1.3亿
专用设备,1日先锋,1,南兴股份,002757,9.976,南兴股份 +10.0%
专用设备,1日先锋,2,深科达,688328,6.195,深科达 +6.2%
专用设备,1日先锋,3,利和兴,301013,5.069,利和兴 +5.1%
专用设备,3日动能,1,浩洋股份,300833,8.620145247868628,浩洋股份 +8.6%
专用设备,3日动能,2,利和兴,301013,8.108108108108091,利和兴 +8.1%
专用设备,3日动能,3,蜀道装备,300540,7.522446008250427,蜀道装备 +7.5%
专用设备,5日趋势,1,浩洋股份,300833,13.907284768211925,浩洋股份 +13.9%
专用设备,5日趋势,2,科达制造,600499,8.735795454545459,科达制造 +8.7%
专用设备,5日趋势,3,天永智能,603895,7.881092291738678,天永智能 +7.9%
专用设备,核心中军,1,英维克,002837,3973570319.0,英维克 39.7亿
专用设备,核心中军,2,正帆科技,688596,2411978884.0,正帆科技 24.1亿
专用设备,核心中军,3,芯碁微装,688630,2406159682.0,芯碁微装 24.1亿
个护用品,1日先锋,1,依依股份,001206,5.578,依依股份 +5.6%
个护用品,1日先锋,2,豪悦护理,605009,1.695,豪悦护理 +1.7%
个护用品,1日先锋,3,洁雅股份,301108,1.646,洁雅股份 +1.6%
个护用品,3日动能,1,洁雅股份,301108,19.47833403449726,洁雅股份 +19.5%
个护用品,3日动能,2,依依股份,001206,10.675965665236053,依依股份 +10.7%
个护用品,3日动能,3,中顺洁柔,002511,1.1494252873563315,中顺洁柔 +1.1%
个护用品,5日趋势,1,洁雅股份,301108,20.954003407155007,洁雅股份 +21.0%
个护用品,5日趋势,2,依依股份,001206,7.78474399164053,依依股份 +7.8%
个护用品,5日趋势,3,中顺洁柔,002511,3.834808259587019,中顺洁柔 +3.8%
个护用品,核心中军,1,依依股份,001206,336600278.0,依依股份 3.4亿
个护用品,核心中军,2,洁雅股份,301108,125980336.0,洁雅股份 1.3亿
个护用品,核心中军,3,延江股份,300658,94303812.0,延江股份 0.9亿
乘用车,1日先锋,1,广汽集团,601238,-0.195,广汽集团 -0.2%
乘用车,1日先锋,2,上汽集团,600104,-1.086,上汽集团 -1.1%
乘用车,1日先锋,3,长安汽车,000625,-1.132,长安汽车 -1.1%
乘用车,3日动能,1,长城汽车,601633,-0.45543266102796576,长城汽车 -0.5%
乘用车,3日动能,2,上汽集团,600104,-0.8902077151335286,上汽集团 -0.9%
乘用车,3日动能,3,广汽集团,601238,-2.285714285714291,广汽集团 -2.3%
乘用车,5日趋势,1,上汽集团,600104,2.4539877300613577,上汽集团 +2.5%
乘用车,5日趋势,2,长城汽车,601633,1.5936254980079667,长城汽车 +1.6%
乘用车,5日趋势,3,广汽集团,601238,-0.9652509652509633,广汽集团 -1.0%
乘用车,核心中军,1,上汽集团,600104,365375014.0,上汽集团 3.7亿
乘用车,核心中军,2,长安汽车,000625,346562391.0,长安汽车 3.5亿
乘用车,核心中军,3,海马汽车,000572,284050492.0,海马汽车 2.8亿
交通运输,1日先锋,1,山东高速,600350,10.033,山东高速 +10.0%
交通运输,1日先锋,2,厦门国贸,600755,3.853,厦门国贸 +3.9%
交通运输,1日先锋,3,招商公路,001965,2.682,招商公路 +2.7%
交通运输,3日动能,1,山东高速,600350,13.64785172704297,山东高速 +13.6%
交通运输,3日动能,2,厦门国贸,600755,6.463195691202861,厦门国贸 +6.5%
交通运输,3日动能,3,皖通高速,600012,6.069895769466593,皖通高速 +6.1%
交通运输,5日趋势,1,山东高速,600350,18.959435626102294,山东高速 +19.0%
交通运输,5日趋势,2,粤高速Ａ,000429,9.198813056379818,粤高速Ａ +9.2%
交通运输,5日趋势,3,三羊马,001317,9.118161378965773,三羊马 +9.1%
交通运输,核心中军,1,中国东航,600115,819988351.0,中国东航 8.2亿
