行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
其他饰品,-0.24802034861888625,2.426161960288679,4.356,11.783957471963014,9.062002457766628,-0.3997161352023215,1.0,0,162173206.0,2,0.703244916221111,修复,右上加速,78.3
医疗设备,-0.4641434487640508,2.632279348501862,4.370325581395349,5.111002467049497,1.048975688945064,-1.8739664893248298,0.9302325581395349,3,11925472459.0,43,6.147920747885319,修复,右上加速,78.3
农林牧渔,-1.142075656809083,1.3850265472535768,5.022659090909091,5.642730571000842,3.306938662360559,-3.314840823065457,0.9772727272727273,6,14470778112.0,44,0.7514503694758672,修复,右上加速,77.0
光伏主材,-0.4319184693715024,3.037143972806104,1.3816666666666668,4.682013316609623,2.691092624784397,-5.823141664598053,1.0,0,3975913317.0,3,0.2758678164878303,修复,右上加速,75.5
个护用品,3.3051672290137795,4.844885144447026,1.9743333333333335,3.0815822493458045,1.4401771470524904,-0.7745983956763514,0.8888888888888888,0,739108138.0,9,0.6032770359296133,领涨,右上加速,75.0
国防军工,3.3863455120488903,1.3503946359857169,1.2944833333333332,3.648137596467693,2.1301091046501464,0.02051633389694718,0.7583333333333333,3,84542007349.0,120,0.806541419351904,领涨,右上加速,74.7
医疗器械,1.6550921468029574,1.6541357085317194,3.496191489361702,5.628555838666971,0.5422030952805246,0.031140371293658653,0.8936170212765957,2,14191712727.0,94,1.8279693662724061,领涨,右上加速,74.4
游戏Ⅱ,2.871871724756551,5.115997044594753,0.96736,3.270256638932234,2.4551352827225204,0.7773861302498686,0.8,0,15740970138.0,25,0.5366088309088279,领涨,右下降温,74.2
保险Ⅱ,3.1145668206785664,0.4038750094603354,7.0886,7.1337246944199295,3.986094723547562,0.4877501829142261,1.0,0,18631442901.0,5,0.3082779180026938,领涨,右下降温,73.9
光学光电子,4.405570897644129,0.9694755664886311,-0.07348214285714286,3.2794136246000916,3.0159325875253495,-0.28135616753037773,0.375,5,58374038735.0,56,1.1105028307786817,领涨,左上修复,73.4
综合包装,0.27244997407841476,0.15812253040852076,4.243666666666667,8.572352081729772,2.6991491531684453,2.247728562206208,1.0,1,616568453.0,6,0.38247533238537,领涨,右下降温,73.3
其他化学制品,5.670503103158938,0.7020265695164195,3.0396582278481015,1.8796268775900682,0.6780065069682095,0.8232918647834264,0.810126582278481,6,27413406954.0,79,0.8362514376350172,领涨,左下退潮,72.7
印刷包装机械,3.5220958063330925,1.0389464253022058,2.28775,7.3991238727375785,3.2657074918094775,0.3245346900034418,0.75,1,1584392841.0,12,0.4054632424980271,领涨,右上加速,72.1
其他小金属,10.57527053521953,2.186691783169216,0.7088,4.0495807641124815,2.9684866309248603,5.139558148647283,0.6666666666666666,1,29580580966.0,15,-0.034137240523604895,领涨,左下退潮,72.1
金融控股,0.36938390829628726,1.3568652687622187,5.116777777777778,4.6523636414695035,0.37008578283714844,-0.8534648704185188,1.0,1,3100511256.0,9,0.2692258174301818,领涨,右下降温,72.0
面板,7.63602353718759,1.0878042449708702,0.0952820512820513,3.677325371097573,2.4434135639217924,5.802462893099092,0.5384615384615384,1,94576483722.0,39,0.5582955984866396,领涨,左上修复,70.6
成品家居,0.8235448323196781,3.7224029660357942,1.9581176470588233,1.5658897638150426,1.7857700350162542,-0.8430190755853051,0.8235294117647058,0,2022150050.0,17,0.4055680323405684,领涨,左上修复,70.6
