行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,飞利信,300287,19.938,飞利信 +19.9%
IT服务Ⅱ,1日先锋,2,联迪信息,920790,14.286,联迪信息 +14.3%
IT服务Ⅱ,1日先锋,3,格灵深瞳,688207,12.388,格灵深瞳 +12.4%
IT服务Ⅱ,3日动能,1,紫光股份,000938,16.822794691647136,紫光股份 +16.8%
IT服务Ⅱ,3日动能,2,能科科技,603859,12.513323385205721,能科科技 +12.5%
IT服务Ⅱ,3日动能,3,大位科技,600589,12.127659574468064,大位科技 +12.1%
IT服务Ⅱ,5日趋势,1,神州数码,000034,8.582677165354324,神州数码 +8.6%
IT服务Ⅱ,5日趋势,2,紫光股份,000938,8.206796818510487,紫光股份 +8.2%
IT服务Ⅱ,5日趋势,3,宝信软件,600845,5.661467359907579,宝信软件 +5.7%
IT服务Ⅱ,核心中军,1,紫光股份,000938,10312108234.0,紫光股份 103.1亿
IT服务Ⅱ,核心中军,2,东方国信,300166,3303855116.0,东方国信 33.0亿
IT服务Ⅱ,核心中军,3,宏景科技,301396,3256559641.0,宏景科技 32.6亿
专业工程,1日先锋,1,利柏特,605167,4.348,利柏特 +4.3%
专业工程,1日先锋,2,中国化学,601117,3.265,中国化学 +3.3%
专业工程,1日先锋,3,三联虹普,300384,3.246,三联虹普 +3.2%
专业工程,3日动能,1,利柏特,605167,9.375,利柏特 +9.4%
专业工程,3日动能,2,ST百利,603959,3.953488372093017,ST百利 +4.0%
专业工程,3日动能,3,中国化学,601117,0.9308510638297962,中国化学 +0.9%
专业工程,5日趋势,1,ST百利,603959,4.439252336448596,ST百利 +4.4%
专业工程,5日趋势,2,利柏特,605167,3.130755064456725,利柏特 +3.1%
专业工程,5日趋势,3,三联虹普,300384,0.0,三联虹普 +0.0%
专业工程,核心中军,1,中国化学,601117,1060974354.0,中国化学 10.6亿
专业工程,核心中军,2,中工国际,002051,810174837.0,中工国际 8.1亿
专业工程,核心中军,3,利柏特,605167,293776113.0,利柏特 2.9亿
专业连锁Ⅲ,1日先锋,1,博士眼镜,300622,5.093,博士眼镜 +5.1%
