行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,中国软件,600536,9.993,中国软件 +10.0%
IT服务Ⅱ,1日先锋,2,浪潮软件,600756,6.758,浪潮软件 +6.8%
IT服务Ⅱ,1日先锋,3,飞利信,300287,6.443,飞利信 +6.4%
IT服务Ⅱ,3日动能,1,中国软件,600536,15.840517241379315,中国软件 +15.8%
IT服务Ⅱ,3日动能,2,华是科技,301218,14.756756756756761,华是科技 +14.8%
IT服务Ⅱ,3日动能,3,紫光股份,000938,14.217727543129088,紫光股份 +14.2%
IT服务Ⅱ,5日趋势,1,浪潮软件,600756,19.758064516129025,浪潮软件 +19.8%
IT服务Ⅱ,5日趋势,2,卓易信息,688258,18.42557579924373,卓易信息 +18.4%
IT服务Ⅱ,5日趋势,3,飞利信,300287,17.999999999999993,飞利信 +18.0%
IT服务Ⅱ,核心中军,1,紫光股份,000938,19056672593.0,紫光股份 190.6亿
IT服务Ⅱ,核心中军,2,宏景科技,301396,3700883901.0,宏景科技 37.0亿
IT服务Ⅱ,核心中军,3,网宿科技,300017,3056096149.0,网宿科技 30.6亿
专业工程,1日先锋,1,中材国际,600970,0.276,中材国际 +0.3%
专业工程,1日先锋,2,中国化学,601117,-0.677,中国化学 -0.7%
专业工程,1日先锋,3,中钢国际,000928,-1.431,中钢国际 -1.4%
专业工程,3日动能,1,中材国际,600970,1.680672268907557,中材国际 +1.7%
专业工程,3日动能,2,中国化学,601117,-0.5420054200542035,中国化学 -0.5%
专业工程,3日动能,3,中钢国际,000928,-1.4314928425357754,中钢国际 -1.4%
专业工程,5日趋势,1,中材国际,600970,-1.4925373134328401,中材国际 -1.5%
专业工程,5日趋势,2,中钢国际,000928,-3.599999999999992,中钢国际 -3.6%
专业工程,5日趋势,3,中国化学,601117,-4.30247718383312,中国化学 -4.3%
专业工程,核心中军,1,中国化学,601117,454512776.0,中国化学 4.5亿
专业工程,核心中军,2,中工国际,002051,354287143.0,中工国际 3.5亿
专业工程,核心中军,3,北方国际,000065,129473699.0,北方国际 1.3亿
