主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
医药医疗,13,2,65.28461538461538,87.5,-3.559873834217894,14,38.46153846153847,32.661368716702185,81.4,35.9,1
金融,7,2,69.88571428571429,84.76666666666667,-1.8323967780872432,0,28.57142857142857,45.203306995676115,75.9,36.1,2
AI数字经济,13,4,57.54615384615385,82.8,-3.696211488179397,4,7.6923076923076925,10.295213084686768,73.8,8.9,3
地产基建,16,3,57.287499999999994,84.63333333333334,-4.2440916143196965,4,0.0,14.067962678160045,73.6,6.3,4
农业养殖,9,1,65.45555555555556,77.73333333333333,-3.0752262246181723,1,11.11111111111111,23.46542346542347,72.6,16.7,5
大消费,58,5,56.389655172413796,87.53333333333335,-4.779959272699397,2,5.172413793103448,18.011988309274688,71.5,11.0,6
交通物流,7,1,68.78571428571429,77.76666666666667,-3.437662293283036,0,14.285714285714285,33.15958164642375,70.1,22.8,7
其他主题,8,1,57.76249999999999,77.89999999999999,-4.70318797145511,1,12.5,26.784102335572925,65.7,18.9,8
资源化工,36,5,35.144444444444446,80.2,-8.816434491089701,6,2.7777777777777777,11.535593387527483,59.6,6.7,9
环保公用,3,2,61.96666666666666,61.96666666666667,-4.930994674140691,2,0.0,29.55194283467528,59.1,13.3,10
汽车机器人,9,2,54.599999999999994,70.83333333333333,-5.874938955962332,1,0.0,14.294636617749823,58.4,6.4,11
市场指数,4,0,45.475,48.0,-6.977875528873497,75,0.0,12.746718957360208,50.4,5.7,12
高端制造军工,19,4,34.51052631578948,54.199999999999996,-8.293462177258121,5,0.0,4.548494081641855,47.7,2.0,13
新能源电力,15,2,32.93333333333333,53.46666666666667,-8.331387508211494,1,0.0,9.145063694021065,41.3,4.1,14
半导体电子,9,2,29.977777777777778,53.53333333333334,-9.614817184690683,1,0.0,6.356096861843989,38.6,2.9,15
