主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
医药医疗,13,2,79.06923076923077,91.39999999999999,7.230343133313487,34,84.61538461538461,92.02685709821313,89.8,88.0,1
大消费,58,5,59.027586206896544,85.66666666666667,1.43055987746809,17,68.96551724137932,84.2411350817693,75.3,75.8,2
金融,7,2,70.55714285714285,80.7,2.895051319917265,1,85.71428571428571,93.95194177802875,73.7,89.4,3
交通物流,7,1,68.44285714285714,77.5,2.750351052087042,2,85.71428571428571,82.9438982070561,71.9,84.5,4
其他主题,8,1,58.8125,76.5,1.7626359728220353,4,75.0,80.18468051556286,70.0,77.3,5
地产基建,16,3,56.81875,80.10000000000001,1.5041437514287894,4,62.5,65.2102161970583,69.3,63.7,6
农业养殖,9,1,61.800000000000004,76.2,1.5569352474709044,3,66.66666666666666,79.29292929292929,68.6,72.3,7
AI数字经济,13,4,51.28461538461538,77.93333333333334,-0.6282486701533365,12,69.23076923076923,70.94440784301466,65.8,70.0,8
资源化工,36,5,36.775000000000006,83.5,-1.6634648562628913,8,25.0,49.76805260733948,61.6,36.1,9
汽车机器人,9,2,52.111111111111114,67.46666666666665,0.637082221253101,1,77.77777777777779,79.32753901700444,55.4,78.5,10
环保公用,3,2,54.56666666666666,54.56666666666666,0.6527042719970844,2,66.66666666666666,68.53770278817719,51.9,67.5,11
新能源电力,15,2,34.9,63.23333333333333,-1.8301196758690736,9,40.0,52.88904488693533,50.7,45.8,12
市场指数,4,0,39.6,42.266666666666666,-1.52285234587885,175,50.0,57.2232005579553,46.0,53.3,13
高端制造军工,19,4,28.08421052631579,43.800000000000004,-2.661598826840752,5,5.263157894736842,56.81049050253699,36.9,28.5,14
半导体电子,9,2,16.822222222222223,28.833333333333332,-6.498869853589993,0,11.11111111111111,21.34496061174827,20.3,15.7,15
