行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,银信科技,300231,19.947,银信科技 +19.9%
IT服务Ⅱ,1日先锋,2,联迪信息,920790,7.061,联迪信息 +7.1%
IT服务Ⅱ,1日先锋,3,朗玛信息,300288,3.536,朗玛信息 +3.5%
IT服务Ⅱ,3日动能,1,今天国际,300532,16.375198728139907,今天国际 +16.4%
IT服务Ⅱ,3日动能,2,银信科技,300231,15.964240102171146,银信科技 +16.0%
IT服务Ⅱ,3日动能,3,中国软件,600536,7.366984993178716,中国软件 +7.4%
IT服务Ⅱ,5日趋势,1,银信科技,300231,17.769130998702988,银信科技 +17.8%
IT服务Ⅱ,5日趋势,2,今天国际,300532,15.094339622641506,今天国际 +15.1%
IT服务Ⅱ,5日趋势,3,中国软件,600536,13.074712643678165,中国软件 +13.1%
IT服务Ⅱ,核心中军,1,紫光股份,000938,11807286545.0,紫光股份 118.1亿
IT服务Ⅱ,核心中军,2,宏景科技,301396,3052884249.0,宏景科技 30.5亿
IT服务Ⅱ,核心中军,3,网宿科技,300017,2491423974.0,网宿科技 24.9亿
专业工程,1日先锋,1,中材国际,600970,3.005,中材国际 +3.0%
专业工程,1日先锋,2,三联虹普,300384,2.83,三联虹普 +2.8%
专业工程,1日先锋,3,中钢国际,000928,2.669,中钢国际 +2.7%
专业工程,3日动能,1,中材国际,600970,4.143646408839774,中材国际 +4.1%
专业工程,3日动能,2,中国化学,601117,3.5182679296346553,中国化学 +3.5%
专业工程,3日动能,3,中钢国际,000928,2.249488752556239,中钢国际 +2.2%
专业工程,5日趋势,1,中材国际,600970,5.602240896358546,中材国际 +5.6%
专业工程,5日趋势,2,中国化学,601117,3.658536585365857,中国化学 +3.7%
专业工程,5日趋势,3,中钢国际,000928,2.249488752556239,中钢国际 +2.2%
专业工程,核心中军,1,中国化学,601117,559633099.0,中国化学 5.6亿
专业工程,核心中军,2,中工国际,002051,211970123.0,中工国际 2.1亿
专业工程,核心中军,3,中材国际,600970,169427915.0,中材国际 1.7亿
专业连锁Ⅲ,1日先锋,1,天音控股,000829,6.83,天音控股 +6.8%
专业连锁Ⅲ,1日先锋,2,孩子王,301078,3.62,孩子王 +3.6%
专业连锁Ⅲ,1日先锋,3,爱施德,002416,3.111,爱施德 +3.1%
专业连锁Ⅲ,3日动能,1,爱施德,002416,4.740406320541757,爱施德 +4.7%
专业连锁Ⅲ,3日动能,2,天音控股,000829,4.5397225725094525,天音控股 +4.5%
专业连锁Ⅲ,3日动能,3,孩子王,301078,2.2321428571428603,孩子王 +2.2%
专业连锁Ⅲ,5日趋势,1,天音控股,000829,9.656084656084651,天音控股 +9.7%
专业连锁Ⅲ,5日趋势,2,华致酒行,300755,6.648199445983383,华致酒行 +6.6%
专业连锁Ⅲ,5日趋势,3,爱施德,002416,6.300114547537206,爱施德 +6.3%
专业连锁Ⅲ,核心中军,1,天音控股,000829,281277645.0,天音控股 2.8亿
专业连锁Ⅲ,核心中军,2,爱施德,002416,264165366.0,爱施德 2.6亿
专业连锁Ⅲ,核心中军,3,孩子王,301078,204945869.0,孩子王 2.0亿
专用设备,1日先锋,1,银宝山新,002786,9.959,银宝山新 +10.0%
专用设备,1日先锋,2,伊之密,300415,7.935,伊之密 +7.9%
专用设备,1日先锋,3,美亚光电,002690,5.352,美亚光电 +5.4%
专用设备,3日动能,1,银宝山新,002786,6.192358366271411,银宝山新 +6.2%
专用设备,3日动能,2,上海亚虹,603159,5.882352941176472,上海亚虹 +5.9%
专用设备,3日动能,3,亚联机械,001395,5.134474327628369,亚联机械 +5.1%
专用设备,5日趋势,1,亚联机械,001395,27.21893491124261,亚联机械 +27.2%
专用设备,5日趋势,2,深科达,688328,15.960950364620107,深科达 +16.0%
专用设备,5日趋势,3,上海亚虹,603159,10.89560752994867,上海亚虹 +10.9%
专用设备,核心中军,1,英维克,002837,2487925557.0,英维克 24.9亿
专用设备,核心中军,2,芯碁微装,688630,2240691755.0,芯碁微装 22.4亿
专用设备,核心中军,3,正帆科技,688596,1419324731.0,正帆科技 14.2亿
个护用品,1日先锋,1,百亚股份,003006,4.608,百亚股份 +4.6%
个护用品,1日先锋,2,稳健医疗,300888,4.455,稳健医疗 +4.5%
个护用品,1日先锋,3,依依股份,001206,3.9,依依股份 +3.9%
个护用品,3日动能,1,依依股份,001206,7.523667164922765,依依股份 +7.5%
个护用品,3日动能,2,稳健医疗,300888,5.92699674737982,稳健医疗 +5.9%
个护用品,3日动能,3,中顺洁柔,002511,3.86819484240688,中顺洁柔 +3.9%
个护用品,5日趋势,1,洁雅股份,301108,8.943661971830984,洁雅股份 +8.9%
个护用品,5日趋势,2,依依股份,001206,4.604944255937959,依依股份 +4.6%
个护用品,5日趋势,3,稳健医疗,300888,3.97304008513657,稳健医疗 +4.0%
个护用品,核心中军,1,依依股份,001206,267483756.0,依依股份 2.7亿
个护用品,核心中军,2,稳健医疗,300888,219737553.0,稳健医疗 2.2亿
个护用品,核心中军,3,中顺洁柔,002511,175731983.0,中顺洁柔 1.8亿
乘用车,1日先锋,1,长城汽车,601633,3.659,长城汽车 +3.7%
乘用车,1日先锋,2,长安汽车,000625,3.026,长安汽车 +3.0%
乘用车,1日先锋,3,上汽集团,600104,2.886,上汽集团 +2.9%
乘用车,3日动能,1,上汽集团,600104,2.1739130434782705,上汽集团 +2.2%
乘用车,3日动能,2,长城汽车,601633,2.096985583224109,长城汽车 +2.1%
乘用车,3日动能,3,长安汽车,000625,0.5625879043600568,长安汽车 +0.6%
乘用车,5日趋势,1,海马汽车,000572,3.8123167155425186,海马汽车 +3.8%
乘用车,5日趋势,2,上汽集团,600104,3.1936127744510934,上汽集团 +3.2%
乘用车,5日趋势,3,长安汽车,000625,2.2889842632331847,长安汽车 +2.3%
乘用车,核心中军,1,长安汽车,000625,706844873.0,长安汽车 7.1亿
乘用车,核心中军,2,上汽集团,600104,669597410.0,上汽集团 6.7亿
乘用车,核心中军,3,长城汽车,601633,341272654.0,长城汽车 3.4亿
交通运输,1日先锋,1,三羊马,001317,9.994,三羊马 +10.0%
交通运输,1日先锋,2,天顺股份,002800,9.984,天顺股份 +10.0%
交通运输,1日先锋,3,福然德,605050,7.098,福然德 +7.1%
交通运输,3日动能,1,三羊马,001317,14.020986827416838,三羊马 +14.0%
交通运输,3日动能,2,福然德,605050,6.763787721123826,福然德 +6.8%
交通运输,3日动能,3,天顺股份,002800,6.552262090483607,天顺股份 +6.6%
交通运输,5日趋势,1,三羊马,001317,16.918498168498175,三羊马 +16.9%
交通运输,5日趋势,2,天顺股份,002800,11.967213114754106,天顺股份 +12.0%
交通运输,5日趋势,3,上海雅仕,603329,9.41558441558441,上海雅仕 +9.4%
交通运输,核心中军,1,京沪高铁,601816,810511022.0,京沪高铁 8.1亿
交通运输,核心中军,2,大秦铁路,601006,765512663.0,大秦铁路 7.7亿
交通运输,核心中军,3,中国东航,600115,657640727.0,中国东航 6.6亿
产业地产,1日先锋,1,上海临港,600848,5.599,上海临港 +5.6%
产业地产,1日先锋,2,中新集团,601512,4.161,中新集团 +4.2%
产业地产,1日先锋,3,外高桥,600648,3.155,外高桥 +3.2%
产业地产,3日动能,1,上海临港,600848,5.188067444876787,上海临港 +5.2%
产业地产,3日动能,2,浦东金桥,600639,3.5031847133758065,浦东金桥 +3.5%
产业地产,3日动能,3,空港股份,600463,1.8181818181818077,空港股份 +1.8%
产业地产,5日趋势,1,上海临港,600848,7.559681697612719,上海临港 +7.6%
产业地产,5日趋势,2,市北高新,600604,6.060606060606055,市北高新 +6.1%
产业地产,5日趋势,3,空港股份,600463,4.953145917001334,空港股份 +5.0%
产业地产,核心中军,1,张江高科,600895,1972612580.0,张江高科 19.7亿
产业地产,核心中军,2,上海临港,600848,135747221.0,上海临港 1.4亿
产业地产,核心中军,3,市北高新,600604,64797566.0,市北高新 0.6亿
人力资源服务,1日先锋,1,北京人力,600861,3.054,北京人力 +3.1%
人力资源服务,1日先锋,2,外服控股,600662,2.169,外服控股 +2.2%
人力资源服务,1日先锋,3,科锐国际,300662,1.775,科锐国际 +1.8%
人力资源服务,3日动能,1,北京人力,600861,4.69371519490851,北京人力 +4.7%
人力资源服务,3日动能,2,外服控股,600662,2.168674698795181,外服控股 +2.2%
人力资源服务,3日动能,3,科锐国际,300662,-1.7142857142857237,科锐国际 -1.7%
人力资源服务,5日趋势,1,北京人力,600861,4.113924050632911,北京人力 +4.1%
人力资源服务,5日趋势,2,外服控股,600662,2.9126213592232997,外服控股 +2.9%
人力资源服务,5日趋势,3,科锐国际,300662,-1.0356731875719172,科锐国际 -1.0%
人力资源服务,核心中军,1,科锐国际,300662,78767903.0,科锐国际 0.8亿
人力资源服务,核心中军,2,外服控股,600662,58143615.0,外服控股 0.6亿
人力资源服务,核心中军,3,北京人力,600861,54839898.0,北京人力 0.5亿
仪器仪表,1日先锋,1,海能技术,920476,11.449,海能技术 +11.4%
仪器仪表,1日先锋,2,工大科雅,301197,7.266,工大科雅 +7.3%
仪器仪表,1日先锋,3,思林杰,688115,7.241,思林杰 +7.2%
仪器仪表,3日动能,1,海能技术,920476,9.700427960057056,海能技术 +9.7%
仪器仪表,3日动能,2,新天科技,300259,9.398496240601496,新天科技 +9.4%
仪器仪表,3日动能,3,天瑞仪器,300165,2.5540275049115824,天瑞仪器 +2.6%
仪器仪表,5日趋势,1,海能技术,920476,8.76944837340876,海能技术 +8.8%
仪器仪表,5日趋势,2,宁水集团,603700,8.25602968460113,宁水集团 +8.3%
仪器仪表,5日趋势,3,新天科技,300259,8.178438661710041,新天科技 +8.2%
仪器仪表,核心中军,1,精智达,688627,3907906655.0,精智达 39.1亿
仪器仪表,核心中军,2,C联讯,688808,2097603417.0,C联讯 21.0亿
仪器仪表,核心中军,3,海川智能,300720,1271716260.0,海川智能 12.7亿
会展服务,1日先锋,1,锋尚文化,300860,8.669,锋尚文化 +8.7%
会展服务,1日先锋,2,米奥会展,300795,2.442,米奥会展 +2.4%
会展服务,1日先锋,3,兰生股份,600826,2.169,兰生股份 +2.2%
会展服务,3日动能,1,锋尚文化,300860,5.408606395578364,锋尚文化 +5.4%
会展服务,3日动能,2,米奥会展,300795,-0.3562945368170922,米奥会展 -0.4%
会展服务,3日动能,3,兰生股份,600826,-5.777777777777771,兰生股份 -5.8%
会展服务,5日趋势,1,锋尚文化,300860,4.337631887456039,锋尚文化 +4.3%
会展服务,5日趋势,2,米奥会展,300795,0.2389486260454099,米奥会展 +0.2%
会展服务,5日趋势,3,兰生股份,600826,-5.986696230598665,兰生股份 -6.0%
会展服务,核心中军,1,锋尚文化,300860,123008021.0,锋尚文化 1.2亿
会展服务,核心中军,2,兰生股份,600826,57248067.0,兰生股份 0.6亿
会展服务,核心中军,3,米奥会展,300795,27130810.0,米奥会展 0.3亿
传媒,1日先锋,1,幸福蓝海,300528,19.986,幸福蓝海 +20.0%
传媒,1日先锋,2,儒意电影,002739,9.965,儒意电影 +10.0%
