主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
汽车机器人,9,2,58.544444444444444,75.73333333333333,-1.8501793742912414,4,44.44444444444444,28.425634754251107,71.2,37.2,1
金融,7,2,64.44285714285715,70.03333333333333,-0.17227719894086066,1,14.285714285714285,37.50423489553925,67.8,24.7,2
大消费,58,5,53.550000000000004,76.83333333333333,-2.613981762637527,9,22.413793103448278,20.698753507554375,67.5,21.6,3
AI数字经济,13,4,54.56153846153846,73.46666666666667,-2.6701543270327286,20,30.76923076923077,59.70675171990961,66.4,43.8,4
农业养殖,9,1,60.67777777777778,74.06666666666666,-2.19182842496234,0,22.22222222222222,24.32012432012432,64.9,23.2,5
交通物流,7,1,58.07142857142857,65.56666666666666,-1.9940010686464558,2,14.285714285714285,13.76132639290534,63.3,14.0,6
地产基建,16,3,50.58125,73.03333333333333,-2.7906706538332084,7,12.5,34.77738696488697,61.5,22.5,7
高端制造军工,19,4,47.7,73.60000000000001,-3.952225863507349,22,15.789473684210526,50.720962028058466,60.4,31.5,8
资源化工,36,5,39.24722222222223,82.46666666666665,-5.982581474520055,10,11.11111111111111,35.302834490079405,60.4,22.0,8
半导体电子,9,2,48.34444444444445,69.76666666666667,-3.8546892144458105,64,11.11111111111111,89.3725230987784,60.3,46.3,9
环保公用,3,2,61.333333333333336,61.333333333333336,-2.2017628718730475,2,33.33333333333333,29.145939107988443,60.0,31.4,10
医药医疗,13,2,55.26923076923077,72.16666666666667,-3.1913110047805184,3,15.384615384615385,27.194116334458528,59.9,20.7,11
其他主题,8,1,52.462500000000006,65.16666666666667,-2.593518526194102,1,12.5,15.758404177521824,57.4,14.0,12
市场指数,4,0,53.25,54.13333333333333,-3.5408619752837605,228,50.0,52.19068328100987,55.4,51.0,13
新能源电力,15,2,33.68666666666666,47.03333333333333,-6.193869538900214,8,6.666666666666667,44.94656525713651,38.9,23.9,14
