行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,格灵深瞳,688207,18.135,格灵深瞳 +18.1%
IT服务Ⅱ,1日先锋,2,君逸数码,301172,15.903,君逸数码 +15.9%
IT服务Ⅱ,1日先锋,3,卓易信息,688258,11.751,卓易信息 +11.8%
IT服务Ⅱ,3日动能,1,网宿科技,300017,20.803782505910174,网宿科技 +20.8%
IT服务Ⅱ,3日动能,2,卓易信息,688258,18.588862151942266,卓易信息 +18.6%
IT服务Ⅱ,3日动能,3,荣联科技,002642,14.999999999999991,荣联科技 +15.0%
IT服务Ⅱ,5日趋势,1,紫光股份,000938,22.907337237340684,紫光股份 +22.9%
IT服务Ⅱ,5日趋势,2,网宿科技,300017,19.299610894941633,网宿科技 +19.3%
IT服务Ⅱ,5日趋势,3,卓易信息,688258,15.860621326616297,卓易信息 +15.9%
IT服务Ⅱ,核心中军,1,紫光股份,000938,14996337963.0,紫光股份 150.0亿
IT服务Ⅱ,核心中军,2,网宿科技,300017,5596477299.0,网宿科技 56.0亿
IT服务Ⅱ,核心中军,3,宏景科技,301396,4642722181.0,宏景科技 46.4亿
专业工程,1日先锋,1,利柏特,605167,1.569,利柏特 +1.6%
专业工程,1日先锋,2,镇海股份,603637,0.674,镇海股份 +0.7%
专业工程,1日先锋,3,中材国际,600970,0.14,中材国际 +0.1%
专业工程,3日动能,1,利柏特,605167,0.0,利柏特 +0.0%
专业工程,3日动能,2,三联虹普,300384,-1.413133832086455,三联虹普 -1.4%
专业工程,3日动能,3,中材国际,600970,-2.985074626865669,中材国际 -3.0%
专业工程,5日趋势,1,中材国际,600970,-0.5563282336578546,中材国际 -0.6%
专业工程,5日趋势,2,三联虹普,300384,-0.8361204013378032,三联虹普 -0.8%
专业工程,5日趋势,3,中国化学,601117,-2.2696929238985253,中国化学 -2.3%
专业工程,核心中军,1,中国化学,601117,498646480.0,中国化学 5.0亿
专业工程,核心中军,2,中工国际,002051,393332920.0,中工国际 3.9亿
专业工程,核心中军,3,利柏特,605167,165748526.0,利柏特 1.7亿
专业连锁Ⅲ,1日先锋,1,天音控股,000829,1.455,天音控股 +1.5%
专业连锁Ⅲ,1日先锋,2,博士眼镜,300622,0.653,博士眼镜 +0.7%
专业连锁Ⅲ,1日先锋,3,孩子王,301078,0.616,孩子王 +0.6%
专业连锁Ⅲ,3日动能,1,天音控股,000829,0.9210526315789558,天音控股 +0.9%
专业连锁Ⅲ,3日动能,2,孩子王,301078,-2.0989505247376306,孩子王 -2.1%
专业连锁Ⅲ,3日动能,3,华致酒行,300755,-3.1305903398926582,华致酒行 -3.1%
专业连锁Ⅲ,5日趋势,1,天音控股,000829,1.5894039735099286,天音控股 +1.6%
专业连锁Ⅲ,5日趋势,2,爱婴室,603214,-3.2334384858044185,爱婴室 -3.2%
专业连锁Ⅲ,5日趋势,3,博士眼镜,300622,-3.8808038808038847,博士眼镜 -3.9%
专业连锁Ⅲ,核心中军,1,爱施德,002416,179195346.0,爱施德 1.8亿
专业连锁Ⅲ,核心中军,2,天音控股,000829,165426599.0,天音控股 1.7亿
专业连锁Ⅲ,核心中军,3,孩子王,301078,108615782.0,孩子王 1.1亿
专用设备,1日先锋,1,深科达,688328,19.995,深科达 +20.0%
专用设备,1日先锋,2,日联科技,688531,10.317,日联科技 +10.3%
专用设备,1日先锋,3,亚联机械,001395,10.017,亚联机械 +10.0%
专用设备,3日动能,1,深科达,688328,27.20698254364089,深科达 +27.2%
专用设备,3日动能,2,蜀道装备,300540,18.562124248496993,蜀道装备 +18.6%
专用设备,3日动能,3,正帆科技,688596,13.140845070422525,正帆科技 +13.1%
专用设备,5日趋势,1,日联科技,688531,14.470588235294123,日联科技 +14.5%
专用设备,5日趋势,2,深科达,688328,13.544796883695053,深科达 +13.5%
专用设备,5日趋势,3,蜀道装备,300540,13.446788111217645,蜀道装备 +13.4%
专用设备,核心中军,1,英维克,002837,5418373285.0,英维克 54.2亿
专用设备,核心中军,2,正帆科技,688596,2947421895.0,正帆科技 29.5亿
专用设备,核心中军,3,芯碁微装,688630,2937981417.0,芯碁微装 29.4亿
个护用品,1日先锋,1,洁雅股份,301108,7.254,洁雅股份 +7.3%
个护用品,1日先锋,2,延江股份,300658,-0.185,延江股份 -0.2%
个护用品,1日先锋,3,可靠股份,301009,-0.364,可靠股份 -0.4%
个护用品,3日动能,1,洁雅股份,301108,15.597722960151806,洁雅股份 +15.6%
个护用品,3日动能,2,依依股份,001206,13.907657657657646,依依股份 +13.9%
个护用品,3日动能,3,中顺洁柔,002511,-0.8571428571428563,中顺洁柔 -0.9%
个护用品,5日趋势,1,洁雅股份,301108,27.714884696016775,洁雅股份 +27.7%
个护用品,5日趋势,2,依依股份,001206,8.008542445274959,依依股份 +8.0%
个护用品,5日趋势,3,中顺洁柔,002511,1.1661807580174877,中顺洁柔 +1.2%
个护用品,核心中军,1,依依股份,001206,332609417.0,依依股份 3.3亿
个护用品,核心中军,2,洁雅股份,301108,141160566.0,洁雅股份 1.4亿
个护用品,核心中军,3,稳健医疗,300888,96275959.0,稳健医疗 1.0亿
乘用车,1日先锋,1,海马汽车,000572,0.88,海马汽车 +0.9%
乘用车,1日先锋,2,广汽集团,601238,-0.585,广汽集团 -0.6%
乘用车,1日先锋,3,长安汽车,000625,-0.715,长安汽车 -0.7%
乘用车,3日动能,1,长安汽车,000625,-3.342618384401108,长安汽车 -3.3%
乘用车,3日动能,2,上汽集团,600104,-3.4113060428849873,上汽集团 -3.4%
乘用车,3日动能,3,广汽集团,601238,-3.9548022598870025,广汽集团 -4.0%
乘用车,5日趋势,1,长城汽车,601633,0.40000000000000036,长城汽车 +0.4%
乘用车,5日趋势,2,上汽集团,600104,0.30364372469635637,上汽集团 +0.3%
乘用车,5日趋势,3,广汽集团,601238,-0.9708737864077777,广汽集团 -1.0%
乘用车,核心中军,1,长安汽车,000625,435323244.0,长安汽车 4.4亿
乘用车,核心中军,2,上汽集团,600104,426458272.0,上汽集团 4.3亿
乘用车,核心中军,3,海马汽车,000572,252278203.0,海马汽车 2.5亿
交通运输,1日先锋,1,上海雅仕,603329,9.957,上海雅仕 +10.0%
交通运输,1日先锋,2,畅联股份,603648,4.255,畅联股份 +4.3%
交通运输,1日先锋,3,海晨股份,300873,3.224,海晨股份 +3.2%
交通运输,3日动能,1,上海雅仕,603329,6.387434554973814,上海雅仕 +6.4%
交通运输,3日动能,2,厦门国贸,600755,5.7491289198606355,厦门国贸 +5.7%
交通运输,3日动能,3,宁沪高速,600377,3.0032467532467466,宁沪高速 +3.0%
交通运输,5日趋势,1,厦门国贸,600755,9.96376811594204,厦门国贸 +10.0%
交通运输,5日趋势,2,上海雅仕,603329,8.896034297963551,上海雅仕 +8.9%
交通运输,5日趋势,3,宁沪高速,600377,7.816482582837714,宁沪高速 +7.8%
交通运输,核心中军,1,中国东航,600115,869571700.0,中国东航 8.7亿
交通运输,核心中军,2,京沪高铁,601816,743869968.0,京沪高铁 7.4亿
交通运输,核心中军,3,中国国航,601111,695833013.0,中国国航 7.0亿
产业地产,1日先锋,1,张江高科,600895,4.288,张江高科 +4.3%
产业地产,1日先锋,2,电子城,600658,1.285,电子城 +1.3%
产业地产,1日先锋,3,市北高新,600604,0.253,市北高新 +0.3%
产业地产,3日动能,1,张江高科,600895,1.5661252900232236,张江高科 +1.6%
产业地产,3日动能,2,电子城,600658,-0.5050505050505083,电子城 -0.5%
产业地产,3日动能,3,浦东金桥,600639,-1.7970401691332127,浦东金桥 -1.8%
产业地产,5日趋势,1,外高桥,600648,0.12019230769231282,外高桥 +0.1%
产业地产,5日趋势,2,浦东金桥,600639,0.0,浦东金桥 +0.0%
产业地产,5日趋势,3,上海临港,600848,-1.0526315789473717,上海临港 -1.1%
产业地产,核心中军,1,张江高科,600895,1252727336.0,张江高科 12.5亿
产业地产,核心中军,2,华夏幸福,600340,53443643.0,华夏幸福 0.5亿
产业地产,核心中军,3,上海临港,600848,44241044.0,上海临港 0.4亿
人力资源服务,1日先锋,1,北京人力,600861,-0.316,北京人力 -0.3%
人力资源服务,1日先锋,2,科锐国际,300662,-0.518,科锐国际 -0.5%
人力资源服务,1日先锋,3,外服控股,600662,-1.214,外服控股 -1.2%
人力资源服务,3日动能,1,外服控股,600662,-2.1634615384615308,外服控股 -2.2%
