行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,辰安科技,300523,4.146,辰安科技 +4.1%
IT服务Ⅱ,1日先锋,2,太极股份,002368,2.159,太极股份 +2.2%
IT服务Ⅱ,1日先锋,3,卓易信息,688258,0.877,卓易信息 +0.9%
IT服务Ⅱ,3日动能,1,当虹科技,688039,12.617079889807181,当虹科技 +12.6%
IT服务Ⅱ,3日动能,2,联迪信息,920790,9.701492537313428,联迪信息 +9.7%
IT服务Ⅱ,3日动能,3,紫光股份,000938,8.439545297967621,紫光股份 +8.4%
IT服务Ⅱ,5日趋势,1,宝信软件,600845,10.222489476849073,宝信软件 +10.2%
IT服务Ⅱ,5日趋势,2,真视通,002771,10.016286644951133,真视通 +10.0%
IT服务Ⅱ,5日趋势,3,紫光股份,000938,9.078309078309088,紫光股份 +9.1%
IT服务Ⅱ,核心中军,1,紫光股份,000938,8917565681.0,紫光股份 89.2亿
IT服务Ⅱ,核心中军,2,宏景科技,301396,2507140893.0,宏景科技 25.1亿
IT服务Ⅱ,核心中军,3,神州数码,000034,1582536998.0,神州数码 15.8亿
专业工程,1日先锋,1,中工国际,002051,2.577,中工国际 +2.6%
专业工程,1日先锋,2,镇海股份,603637,0.287,镇海股份 +0.3%
专业工程,1日先锋,3,利柏特,605167,-0.124,利柏特 -0.1%
专业工程,3日动能,1,中国化学,601117,-0.2670226969292422,中国化学 -0.3%
专业工程,3日动能,2,中材国际,600970,-0.5563282336578546,中材国际 -0.6%
专业工程,3日动能,3,三联虹普,300384,-2.1739130434782705,三联虹普 -2.2%
专业工程,5日趋势,1,中国化学,601117,1.6326530612244872,中国化学 +1.6%
专业工程,5日趋势,2,利柏特,605167,0.3726708074534013,利柏特 +0.4%
专业工程,5日趋势,3,中材国际,600970,0.28050490883591017,中材国际 +0.3%
专业工程,核心中军,1,中国化学,601117,557454857.0,中国化学 5.6亿
专业工程,核心中军,2,中工国际,002051,432853261.0,中工国际 4.3亿
专业工程,核心中军,3,中材国际,600970,153911238.0,中材国际 1.5亿
专业连锁Ⅲ,1日先锋,1,孩子王,301078,-2.849,孩子王 -2.8%
专业连锁Ⅲ,1日先锋,2,爱婴室,603214,-3.021,爱婴室 -3.0%
专业连锁Ⅲ,1日先锋,3,天音控股,000829,-3.026,天音控股 -3.0%
专业连锁Ⅲ,3日动能,1,爱婴室,603214,-1.2618296529968487,爱婴室 -1.3%
专业连锁Ⅲ,3日动能,2,爱施德,002416,-2.348993288590595,爱施德 -2.3%
专业连锁Ⅲ,3日动能,3,天音控股,000829,-2.384105960264893,天音控股 -2.4%
专业连锁Ⅲ,5日趋势,1,爱婴室,603214,3.3856317093311272,爱婴室 +3.4%
专业连锁Ⅲ,5日趋势,2,吉峰科技,300022,0.0,吉峰科技 +0.0%
专业连锁Ⅲ,5日趋势,3,博士眼镜,300622,0.0,博士眼镜 +0.0%
专业连锁Ⅲ,核心中军,1,爱施德,002416,128357040.0,爱施德 1.3亿
专业连锁Ⅲ,核心中军,2,孩子王,301078,116132074.0,孩子王 1.2亿
专业连锁Ⅲ,核心中军,3,天音控股,000829,92260547.0,天音控股 0.9亿
专用设备,1日先锋,1,正帆科技,688596,10.563,正帆科技 +10.6%
专用设备,1日先锋,2,达刚控股,300103,9.141,达刚控股 +9.1%
专用设备,1日先锋,3,巨轮智能,002031,7.473,巨轮智能 +7.5%
专用设备,3日动能,1,科达制造,600499,9.710743801652889,科达制造 +9.7%
专用设备,3日动能,2,浩洋股份,300833,8.31226295828067,浩洋股份 +8.3%
专用设备,3日动能,3,华依科技,688071,8.104278832530465,华依科技 +8.1%
专用设备,5日趋势,1,科达制造,600499,15.434782608695642,科达制造 +15.4%
专用设备,5日趋势,2,天永智能,603895,11.588587530820703,天永智能 +11.6%
专用设备,5日趋势,3,巨轮智能,002031,8.24372759856631,巨轮智能 +8.2%
专用设备,核心中军,1,英维克,002837,3705214636.0,英维克 37.1亿
专用设备,核心中军,2,正帆科技,688596,3131344597.0,正帆科技 31.3亿
专用设备,核心中军,3,芯碁微装,688630,2027748912.0,芯碁微装 20.3亿
个护用品,1日先锋,1,依依股份,001206,10.023,依依股份 +10.0%
个护用品,1日先锋,2,洁雅股份,301108,6.034,洁雅股份 +6.0%
个护用品,1日先锋,3,中顺洁柔,002511,0.143,中顺洁柔 +0.1%
个护用品,3日动能,1,洁雅股份,301108,17.148846960167717,洁雅股份 +17.1%
个护用品,3日动能,2,依依股份,001206,4.3246129204484784,依依股份 +4.3%
个护用品,3日动能,3,中顺洁柔,002511,2.186588921282784,中顺洁柔 +2.2%
个护用品,5日趋势,1,中顺洁柔,002511,5.413533834586448,中顺洁柔 +5.4%
个护用品,5日趋势,2,诺邦股份,603238,4.454545454545467,诺邦股份 +4.5%
个护用品,5日趋势,3,依依股份,001206,4.157782515991459,依依股份 +4.2%
个护用品,核心中军,1,洁雅股份,301108,168158810.0,洁雅股份 1.7亿
个护用品,核心中军,2,依依股份,001206,154515203.0,依依股份 1.5亿
个护用品,核心中军,3,延江股份,300658,108866561.0,延江股份 1.1亿
乘用车,1日先锋,1,上汽集团,600104,-1.267,上汽集团 -1.3%
乘用车,1日先锋,2,长安汽车,000625,-1.532,长安汽车 -1.5%
乘用车,1日先锋,3,长城汽车,601633,-1.649,长城汽车 -1.6%
乘用车,3日动能,1,长城汽车,601633,3.400000000000003,长城汽车 +3.4%
乘用车,3日动能,2,上汽集团,600104,2.530364372469629,上汽集团 +2.5%
