主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
农业养殖,9,1,68.69999999999999,79.83333333333333,4.890384901923821,0,11.11111111111111,10.476560476560476,73.4,10.8,1
汽车机器人,9,2,58.5,74.86666666666666,2.312727974731668,3,0.0,5.809020498485908,69.1,2.6,2
大消费,58,5,57.00344827586208,80.43333333333334,1.4910853657603573,4,1.7241379310344827,7.655401203143812,68.8,4.4,3
医药医疗,13,2,63.323076923076925,79.76666666666667,2.2385927119786677,0,0.0,4.381096064798765,68.0,2.0,4
高端制造军工,19,4,50.38947368421052,77.43333333333334,-1.275654541824217,4,0.0,12.835348058917994,64.6,5.8,5
交通物流,7,1,57.199999999999996,69.66666666666667,3.509182380130327,0,0.0,4.1548582995951415,64.5,1.9,6
资源化工,36,5,43.48333333333334,76.60000000000001,-1.2870043838490433,8,0.0,12.910474969881502,63.8,5.8,7
金融,7,2,52.728571428571435,62.5,2.538783598692104,1,0.0,13.516967110578468,60.8,6.1,8
环保公用,3,2,62.26666666666667,62.26666666666667,1.7825420042825613,1,0.0,13.263928064687077,59.0,6.0,9
其他主题,8,1,53.075,63.43333333333334,1.8508016985857314,1,0.0,10.995703642762466,58.3,4.9,10
市场指数,4,0,48.45,50.699999999999996,-2.2881355413300746,78,0.0,13.93124889970346,51.5,6.3,11
地产基建,16,3,42.4125,57.03333333333334,-1.5021960832846952,3,0.0,7.983029701779702,49.1,3.6,12
AI数字经济,13,4,37.55384615384616,56.5,-3.9382922469837984,5,0.0,12.995149429359953,47.3,5.8,13
半导体电子,9,2,34.522222222222226,46.9,-9.03415476437509,11,0.0,26.22749684274185,42.4,11.8,14
新能源电力,15,2,33.4,40.666666666666664,-3.9190731912356593,5,0.0,12.838773123214947,39.3,5.8,15
