行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,税友股份,603171,2.88,税友股份 +2.9%
IT服务Ⅱ,1日先锋,2,紫光股份,000938,2.42,紫光股份 +2.4%
IT服务Ⅱ,1日先锋,3,中科金财,002657,2.0,中科金财 +2.0%
IT服务Ⅱ,3日动能,1,神州数码,000034,1.6141732283464494,神州数码 +1.6%
IT服务Ⅱ,3日动能,2,国网信通,600131,-2.373104812129201,国网信通 -2.4%
IT服务Ⅱ,3日动能,3,中科金财,002657,-3.3860045146726914,中科金财 -3.4%
IT服务Ⅱ,5日趋势,1,捷顺科技,002609,-0.8032128514056214,捷顺科技 -0.8%
IT服务Ⅱ,5日趋势,2,神州数码,000034,-1.7136329017517271,神州数码 -1.7%
IT服务Ⅱ,5日趋势,3,中科金财,002657,-1.8348623853211121,中科金财 -1.8%
IT服务Ⅱ,核心中军,1,紫光股份,000938,4106876519.25,紫光股份 41.1亿
IT服务Ⅱ,核心中军,2,神州数码,000034,1050637566.89,神州数码 10.5亿
IT服务Ⅱ,核心中军,3,岩山科技,002195,901904068.8,岩山科技 9.0亿
专业工程,1日先锋,1,ST百利,603959,4.88,ST百利 +4.9%
专业工程,1日先锋,2,中国化学,601117,1.46,中国化学 +1.5%
专业工程,1日先锋,3,中材国际,600970,0.0,中材国际 +0.0%
专业工程,3日动能,1,ST百利,603959,5.373831775700921,ST百利 +5.4%
专业工程,3日动能,2,中国化学,601117,-5.4522924411400275,中国化学 -5.5%
专业工程,3日动能,3,东华科技,002140,-5.708460754332323,东华科技 -5.7%
专业工程,5日趋势,1,利柏特,605167,-0.5940594059405946,利柏特 -0.6%
专业工程,5日趋势,2,ST百利,603959,-3.426124197002145,ST百利 -3.4%
专业工程,5日趋势,3,东华科技,002140,-8.415841584158413,东华科技 -8.4%
专业工程,核心中军,1,中工国际,002051,953770479.68,中工国际 9.5亿
专业工程,核心中军,2,中国化学,601117,847750079.0,中国化学 8.5亿
专业工程,核心中军,3,利柏特,605167,229040228.0,利柏特 2.3亿
专业连锁Ⅲ,1日先锋,1,爱婴室,603214,1.07,爱婴室 +1.1%
专业连锁Ⅲ,1日先锋,2,爱施德,002416,-1.65,爱施德 -1.6%
专业连锁Ⅲ,1日先锋,3,天音控股,000829,-2.88,天音控股 -2.9%
专业连锁Ⅲ,3日动能,1,爱婴室,603214,-4.056162246489858,爱婴室 -4.1%
专业连锁Ⅲ,3日动能,2,天音控股,000829,-7.3202614379085045,天音控股 -7.3%
专业连锁Ⅲ,3日动能,3,爱施德,002416,-12.031558185404345,爱施德 -12.0%
专业连锁Ⅲ,5日趋势,1,爱婴室,603214,-4.651162790697672,爱婴室 -4.7%
专业连锁Ⅲ,5日趋势,2,天音控股,000829,-12.577065351417993,天音控股 -12.6%
专业连锁Ⅲ,5日趋势,3,爱施德,002416,-16.401124648547327,爱施德 -16.4%
专业连锁Ⅲ,核心中军,1,爱施德,002416,241620921.4,爱施德 2.4亿
专业连锁Ⅲ,核心中军,2,天音控股,000829,176085889.55,天音控股 1.8亿
专业连锁Ⅲ,核心中军,3,爱婴室,603214,37110534.0,爱婴室 0.4亿
专用设备,1日先锋,1,威派格,603956,9.95,威派格 +9.9%
专用设备,1日先锋,2,三佳科技,600520,5.64,三佳科技 +5.6%
专用设备,1日先锋,3,中化装备,600579,5.3,中化装备 +5.3%
专用设备,3日动能,1,威派格,603956,32.98755186721991,威派格 +33.0%
专用设备,3日动能,2,三佳科技,600520,16.086691086691097,三佳科技 +16.1%
专用设备,3日动能,3,中化装备,600579,13.668061366806139,中化装备 +13.7%
专用设备,5日趋势,1,威派格,603956,23.98452611218569,威派格 +24.0%
专用设备,5日趋势,2,三佳科技,600520,14.720965309200619,三佳科技 +14.7%
