行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
橡胶助剂,43.10529734626866,19.331324030457708,10.0,22.270500000000016,36.51501325000004,58.885304764601834,1.0,1,5657247169.0,1,1.0538279554425176,领涨,右上加速,97.3
电子,22.23028419967825,10.348964110126692,2.784838709677419,6.0582071421220185,10.511411711531494,27.93533800833523,0.7096774193548387,3,215080664874.22,31,0.34096265110621404,领涨,右上加速,94.0
辅料,18.792745261181434,13.852437777501807,3.473333333333333,8.785901452962985,14.307691413020617,19.42571810835989,0.6666666666666666,1,1961145522.97,3,3.5594116315445756,领涨,右上加速,92.9
医疗服务,3.9067653987183557,5.151175532967036,4.114285714285715,0.13072122099124783,2.1790517566233847,2.039846996297956,0.9285714285714286,1,18637149115.72,14,0.6239200757915553,领涨,右上加速,92.5
个护用品,2.364372785026203,2.7780989813899093,4.166,2.5073273239063942,4.225172997193449,-0.038471134729822776,0.8,1,595010359.72,5,0.43093449583478827,领涨,右上加速,88.8
游戏Ⅱ,2.188652237668065,4.554260614834427,1.7449999999999999,0.9419176306249888,-0.41355515978866997,0.39331153346069403,0.7142857142857143,1,11700107862.82,14,0.2466645050331595,领涨,右上加速,87.1
其他生物制品,0.08970018925349803,3.5381474794441474,5.2620000000000005,-0.9649312503711927,-0.6796910692794422,-0.28805439767434216,0.9,1,3833309294.8,10,0.45668166776419916,领涨,右下降温,86.6
动物保健Ⅲ,5.736791578142278,4.021948949614436,0.5216666666666666,-0.8985316698347345,0.2609526191687195,2.4760031873592103,0.8333333333333334,0,1591040208.98,6,0.26900637131575467,领涨,右上加速,85.7
医药生物,-0.5276908826806722,2.1405093250951235,4.212074074074074,-2.3056683781867204,-0.8866532755201328,-3.8618834070992425,0.9259259259259259,14,38324943937.69,135,0.5201195247744399,修复,右上加速,85.3
制冷空调设备,4.08661178372236,5.366616000992689,0.8019999999999999,-3.1235163996047977,-1.6435361421688666,3.44609369714044,0.6,1,4992887303.0,10,0.08984841051150316,领涨,左下退潮,85.0
有机硅,11.664339300273292,2.5074728791819196,1.1216666666666668,3.0796753861666692,5.202670020528366,8.795061533716098,0.5,1,3155688318.0,6,0.13517232458542305,领涨,右上加速,84.8
其他专业工程,7.551833690320339,2.4244613602883582,1.7519999999999998,4.010522855963727,4.815036044980059,5.583041243396614,0.4666666666666667,3,11992829137.95,15,0.11543878214635894,领涨,右上加速,84.5
其他小金属,10.576755856027043,2.748377163477347,2.1875,1.1257532257812564,-1.3756943891787166,9.19790029086407,0.75,0,33366225434.41,12,0.07600334513105134,领涨,右下降温,81.7
医疗器械,0.49835813471832785,2.048264251268022,2.946521739130435,-2.0106824857354155,-1.7929783408924371,-2.2990177201558493,0.9130434782608695,2,3817836896.0,23,-0.02909952792871051,领涨,右上加速,80.9
成品家居,0.7344720281918127,2.7521509401448796,0.7753846153846153,0.9935535198383194,-0.29536321326369963,-2.81167573772263,0.6923076923076923,0,1652018595.42,13,0.21931043063267475,领涨,右上加速,79.1
非银金融,8.976013716076716,4.431510109952936,0.511875,-0.5608996960407509,-1.5615086346542184,4.889387230129327,0.6875,0,48983655839.06,48,-0.08724655899897027,领涨,右上加速,79.0
元件,23.027109895766433,2.844971842852623,-1.11,4.803745197406162,4.197615143661482,30.582875460691227,0.3333333333333333,0,33640281486.08,9,0.14686146846070547,领涨,右下降温,78.7
白色家电,3.4193936565968333,0.26021655733530863,3.6833333333333336,3.609649966074069,3.3255828131529164,-2.249282842589495,1.0,0,8958553823.81,3,0.5879430250337196,领涨,右上加速,78.4
