主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
医药医疗,13,2,81.42307692307693,94.16666666666667,9.518664977700755,18,92.3076923076923,68.02741527203752,91.8,81.4,1
大消费,58,5,61.77758620689656,88.26666666666665,2.7927912305468956,8,68.96551724137932,68.62869687854848,79.2,68.8,2
交通物流,7,1,64.92857142857143,76.73333333333333,3.471208117798546,1,42.857142857142854,47.16864276074803,71.3,44.8,3
AI数字经济,13,4,52.99999999999999,82.06666666666666,-1.2275344363589098,15,61.53846153846154,69.76957698861723,69.0,65.2,4
农业养殖,9,1,61.67777777777778,75.36666666666667,2.828365386664201,1,33.33333333333333,55.05698005698005,68.8,43.1,5
地产基建,16,3,54.931250000000006,79.43333333333332,1.1065283966348454,3,37.5,51.562503955596064,67.1,43.8,6
其他主题,8,1,59.3125,69.66666666666667,2.6661828395328797,1,50.0,53.412490287490286,63.3,51.5,7
汽车机器人,9,2,55.54444444444445,73.89999999999999,1.618492111849306,1,44.44444444444444,67.49490449569066,62.5,54.8,8
资源化工,36,5,35.099999999999994,72.16666666666666,-3.1210905352466716,5,8.333333333333332,22.476354646075077,56.5,14.7,9
金融,7,2,54.77142857142858,64.03333333333333,1.8672210682961035,0,0.0,14.494546171564803,56.4,6.5,10
环保公用,3,2,51.03333333333333,51.03333333333333,0.31720378225248796,1,33.33333333333333,41.6747867412004,47.9,37.1,11
新能源电力,15,2,31.986666666666668,55.73333333333333,-3.238145555092563,2,0.0,21.423184498370937,44.5,9.6,12
市场指数,4,0,38.349999999999994,42.46666666666667,-3.548386756933819,112,0.0,41.93744225216301,43.8,18.9,13
高端制造军工,19,4,28.689473684210526,45.53333333333333,-4.246221637051364,3,5.263157894736842,41.00884264431509,37.6,21.3,14
半导体电子,9,2,19.77777777777778,38.03333333333333,-12.15872787470882,8,11.11111111111111,24.314609098638133,32.6,17.1,15
