行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,银信科技,300231,10.793,银信科技 +10.8%
IT服务Ⅱ,1日先锋,2,紫光股份,000938,8.612,紫光股份 +8.6%
IT服务Ⅱ,1日先锋,3,博彦科技,002649,6.763,博彦科技 +6.8%
IT服务Ⅱ,3日动能,1,银信科技,300231,34.67202141900938,银信科技 +34.7%
IT服务Ⅱ,3日动能,2,今天国际,300532,23.519736842105267,今天国际 +23.5%
IT服务Ⅱ,3日动能,3,博彦科技,002649,10.776942355889707,博彦科技 +10.8%
IT服务Ⅱ,5日趋势,1,银信科技,300231,30.64935064935066,银信科技 +30.6%
IT服务Ⅱ,5日趋势,2,今天国际,300532,20.16,今天国际 +20.2%
IT服务Ⅱ,5日趋势,3,中国软件,600536,11.363636363636353,中国软件 +11.4%
IT服务Ⅱ,核心中军,1,紫光股份,000938,17116810188.0,紫光股份 171.2亿
IT服务Ⅱ,核心中军,2,网宿科技,300017,2503757216.0,网宿科技 25.0亿
IT服务Ⅱ,核心中军,3,神州数码,000034,2328206721.0,神州数码 23.3亿
专业工程,1日先锋,1,中钢国际,000928,1.6,中钢国际 +1.6%
专业工程,1日先锋,2,北方国际,000065,1.481,北方国际 +1.5%
专业工程,1日先锋,3,三联虹普,300384,0.834,三联虹普 +0.8%
专业工程,3日动能,1,三联虹普,300384,5.405405405405395,三联虹普 +5.4%
专业工程,3日动能,2,中钢国际,000928,5.394190871369298,中钢国际 +5.4%
专业工程,3日动能,3,东华科技,002140,3.971962616822422,东华科技 +4.0%
专业工程,5日趋势,1,中钢国际,000928,5.833333333333335,中钢国际 +5.8%
专业工程,5日趋势,2,中材国际,600970,4.7552447552447585,中材国际 +4.8%
专业工程,5日趋势,3,中国化学,601117,3.005464480874309,中国化学 +3.0%
专业工程,核心中军,1,中国化学,601117,457015868.0,中国化学 4.6亿
专业工程,核心中军,2,中工国际,002051,197369444.0,中工国际 2.0亿
专业工程,核心中军,3,中材国际,600970,133486520.0,中材国际 1.3亿
专业连锁Ⅲ,1日先锋,1,博士眼镜,300622,11.519,博士眼镜 +11.5%
专业连锁Ⅲ,1日先锋,2,天音控股,000829,10.012,天音控股 +10.0%
专业连锁Ⅲ,1日先锋,3,孩子王,301078,4.221,孩子王 +4.2%
专业连锁Ⅲ,3日动能,1,天音控股,000829,19.685039370078727,天音控股 +19.7%
专业连锁Ⅲ,3日动能,2,博士眼镜,300622,14.28571428571428,博士眼镜 +14.3%
专业连锁Ⅲ,3日动能,3,孩子王,301078,10.153846153846157,孩子王 +10.2%
专业连锁Ⅲ,5日趋势,1,天音控股,000829,18.904823989569742,天音控股 +18.9%
专业连锁Ⅲ,5日趋势,2,爱施德,002416,10.501750291715295,爱施德 +10.5%
专业连锁Ⅲ,5日趋势,3,孩子王,301078,9.647779479326179,孩子王 +9.6%
专业连锁Ⅲ,核心中军,1,爱施德,002416,512309742.0,爱施德 5.1亿
专业连锁Ⅲ,核心中军,2,天音控股,000829,464930637.0,天音控股 4.6亿
专业连锁Ⅲ,核心中军,3,孩子王,301078,359188509.0,孩子王 3.6亿
专用设备,1日先锋,1,亚联机械,001395,7.741,亚联机械 +7.7%
专用设备,1日先锋,2,大丰实业,603081,5.671,大丰实业 +5.7%
专用设备,1日先锋,3,华依科技,688071,3.777,华依科技 +3.8%
专用设备,3日动能,1,银宝山新,002786,9.570041608876556,银宝山新 +9.6%
专用设备,3日动能,2,大丰实业,603081,8.047337278106536,大丰实业 +8.0%
专用设备,3日动能,3,百胜智能,301083,6.11596505162828,百胜智能 +6.1%
专用设备,5日趋势,1,亚联机械,001395,24.58701498271225,亚联机械 +24.6%
专用设备,5日趋势,2,上海亚虹,603159,11.73184357541901,上海亚虹 +11.7%
专用设备,5日趋势,3,浩淼科技,920856,6.479217603911991,浩淼科技 +6.5%
