主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
医药医疗,13,2,70.1076923076923,90.96666666666665,2.8956517731250124,14,76.92307692307693,87.84498429944925,85.7,81.8,1
地产基建,16,3,58.91875,86.83333333333333,1.0659490712568416,11,75.0,82.47360430748589,78.1,78.4,2
交通物流,7,1,71.31428571428572,77.43333333333334,0.9623410439813106,2,85.71428571428571,96.95777906304222,71.9,90.8,3
资源化工,36,5,42.99166666666667,89.03333333333335,-3.148345193153674,27,30.555555555555557,87.76378038742709,68.6,56.3,4
大消费,58,5,54.74137931034482,83.46666666666667,-0.9213034082939661,3,68.96551724137932,81.49223564732533,66.8,74.6,5
金融,7,2,65.10000000000001,75.36666666666666,0.9129505397586977,0,85.71428571428571,85.10725201053505,66.6,85.4,6
其他主题,8,1,57.975,78.86666666666667,-0.6976701018171994,1,87.5,91.01921362950776,65.3,89.1,7
农业养殖,9,1,57.07777777777778,69.83333333333333,0.05664323339935976,2,55.55555555555556,59.82905982905984,62.5,57.5,8
AI数字经济,13,4,51.23846153846155,72.36666666666666,-1.181110701971519,9,38.46153846153847,53.727728630205405,61.3,45.3,9
汽车机器人,9,2,52.47777777777778,69.5,-2.0276047533825934,7,66.66666666666666,87.60132774283717,58.5,76.1,10
环保公用,3,2,58.43333333333334,58.43333333333334,-0.9149341096833888,6,100.0,84.76674017470982,56.8,93.1,11
市场指数,4,0,41.55,43.93333333333334,-3.0781339135284136,214,50.0,72.98484204759288,47.4,60.3,12
高端制造军工,19,4,31.68421052631579,51.199999999999996,-4.820868868692527,14,10.526315789473683,70.0632809130344,44.2,37.3,13
新能源电力,15,2,33.35333333333333,54.0,-4.911063194858548,12,40.0,77.6906212669958,44.0,57.0,14
半导体电子,9,2,28.71111111111111,45.13333333333333,-5.785418332925516,22,11.11111111111111,75.26656068942822,39.4,40.0,15
