行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分,主线家族,题材层级,个体活跃分,家族强度,家族共振度,家族排名,家族内排名,题材地位
医药流通,8.932698094214857,5.376772183413922,4.9905,8.216886567079085,8.215765328585878,13.626937734515732,1.0,4,4767877089.0,22,0.770196786795543,领涨,右上加速,95.3,医药医疗,细分题材,95.4,85.7,81.8,1,1,主线核心
医药商业,7.407148121451105,4.270523537407605,5.134499999999999,7.318120670648431,5.721792433545203,12.962917115465732,1.0,1,1926566976.0,8,0.8798572522504793,领涨,右下降温,92.6,医药医疗,细分题材,91.6,85.7,81.8,1,2,主线核心
油服工程,10.285536039052268,9.633263475040359,6.250249999999999,8.078643060763069,13.778044085293327,13.682458909079621,0.875,2,3955232381.0,8,0.7794222264772284,领涨,右上加速,91.9,地产基建,细分题材,93.0,78.1,78.4,2,1,主线核心
油气开采Ⅱ,8.81335045036215,11.026020098535389,7.7938,11.148510730980622,13.775559329903086,19.755535513278776,1.0,3,5146653755.0,5,0.6493249465749706,领涨,右上加速,89.2,资源化工,微型题材,96.9,68.6,56.3,4,1,主线扩散
血液制品,5.2503834419774575,5.116378471864907,2.591666666666667,5.212175644648109,4.385764770753076,8.870296642525055,1.0,0,1083575475.0,6,0.302395287305846,领涨,右上加速,88.5,医药医疗,细分题材,85.9,85.7,81.8,1,3,主线核心
油气及炼化工程,6.971791414219027,4.694396991640136,7.922333333333334,6.728076028580721,12.791198659775048,8.20875240759249,0.8333333333333334,2,4635865851.0,6,1.0925401233840724,领涨,右上加速,88.2,地产基建,细分题材,87.9,78.1,78.4,2,2,主线核心
航运港口,5.89038986797128,4.914192808584098,2.241125,3.572277009536551,3.449776542509708,6.606958227897608,1.0,0,2398077416.0,16,0.2691696846356484,领涨,右下降温,85.4,交通物流,细分题材,85.9,71.9,90.8,3,1,主线扩散
超市,4.467737248953307,4.323806886265756,3.717714285714286,2.3432794097776544,3.972248822254021,4.876103808215815,1.0,1,1655129347.0,7,-0.04664215293846308,领涨,右上加速,82.9,大消费,细分题材,86.0,66.8,74.6,5,1,主线扩散
医药生物,8.58409939106801,1.7117059987837946,2.3590758928571427,5.687560556532056,4.472552225642357,9.516579923454183,0.8214285714285714,5,79087223508.0,224,0.07934501583760079,领涨,右上加速,82.6,医药医疗,宽基主线,79.9,85.7,81.8,1,4,主线扩散
商业地产,3.9027762635439167,5.8021313566984025,2.1496,1.7257288146141248,3.254016331377785,3.8029226971773245,0.9,0,1263486473.0,10,0.021338357518664752,领涨,右上加速,82.2,地产基建,细分题材,79.6,78.1,78.4,2,3,主线核心
煤炭,4.631283802707875,5.82724996240373,4.630933333333333,3.851422491078371,2.168892333766803,8.63127934125638,0.9333333333333333,3,10302002952.0,15,0.25526429052542654,领涨,右下降温,81.9,资源化工,宽基主线,86.7,68.6,56.3,4,2,主线扩散
医疗服务,9.852341830236467,2.1496343929356243,2.735431818181818,7.270126619830841,5.629559228013403,6.961421677478885,0.8636363636363636,0,33540471187.0,44,0.1172556253624204,领涨,右上加速,80.8,医药医疗,细分题材,77.3,85.7,81.8,1,5,主线扩散
其他生物制品,8.363551376599505,0.8062776362146167,2.867815789473684,5.017364571658467,3.452557291089464,7.560410372626247,0.8947368421052632,2,12220870809.0,38,-0.08058677805100556,领涨,右上加速,80.3,医药医疗,细分题材,76.6,85.7,81.8,1,6,主线扩散
农商行Ⅲ,6.291131983127592,5.8216334534197935,0.873,3.0956520050670733,2.5708259182498416,7.2030934160555615,1.0,0,1944106693.0,10,0.25706086225859837,领涨,右下降温,80.2,其他主题,细分题材,85.5,65.3,89.1,7,1,独立异动
粮油加工,5.781836349629411,3.7470992895125406,1.8031428571428572,3.3750072496690375,2.1773397551590135,6.247713239737385,1.0,0,525161096.0,7,0.16367407472299078,领涨,右下降温,80.2,大消费,细分题材,82.3,66.8,74.6,5,2,主线扩散
教育出版,6.20700228539129,5.496903053026268,1.3274000000000001,2.0763403047397544,2.8063995605600356,5.960654364889573,0.9,0,793612895.0,10,0.14292002338090648,领涨,右上加速,80.1,大消费,细分题材,82.1,66.8,74.6,5,3,主线扩散
诊断服务,8.140985583905119,3.5092394410609793,1.7022,8.965999758681797,7.9877252985746106,9.318905259958733,0.6,0,2024978026.0,5,0.3114452990649952,领涨,右上加速,79.6,医药医疗,微型题材,75.7,85.7,81.8,1,7,主线扩散
焦炭Ⅱ,3.4753274657188817,6.195368585062464,3.858571428571428,4.471489306475429,3.272369274598841,5.413221595165041,1.0,0,945123782.0,7,0.3364048484190407,领涨,右下降温,79.6,资源化工,细分题材,83.5,68.6,56.3,4,3,主线扩散
公交,1.7548650159157446,2.8156099117370204,3.1961666666666666,2.232646240516045,1.721388459450579,1.5793779247180284,1.0,1,413082199.0,6,0.3156349120629791,领涨,右上加速,78.6,交通物流,细分题材,76.5,71.9,90.8,3,2,主线扩散
氮肥,3.382506815561714,3.5490579234834208,3.9446666666666665,2.5285371633404274,2.7170589811578605,4.20619641174278,1.0,1,1848820218.0,6,-0.0307647900845458,领涨,右上加速,78.5,资源化工,细分题材,82.0,68.6,56.3,4,4,主线扩散
焦煤,2.3832380672086635,7.519827786036193,4.020300000000001,4.102803872370453,3.2896317369506045,7.7584998811633055,1.0,0,2676661308.0,10,0.16228654359864492,领涨,右下降温,78.1,资源化工,细分题材,81.4,68.6,56.3,4,5,主线扩散
房地产综合服务,2.4553379632726493,3.9985717973121147,2.703,3.0514133134268207,3.051863709933844,0.9971451844653645,1.0,0,42830149.0,1,-0.15074737956113948,领涨,右上加速,77.3,地产基建,微型题材,74.8,78.1,78.4,2,4,主线扩散
生物制品,3.6467302565794295,1.9914360423301698,2.5148571428571427,3.350427409054313,1.737694754380481,1.2718049896693895,1.0,0,3423208197.0,14,0.03423926029840274,领涨,右上加速,77.1,医药医疗,细分题材,72.2,85.7,81.8,1,8,主线扩散
电信运营商,7.225614566696717,7.764130232661688,0.44799999999999995,3.136239662501006,3.9872130630516756,7.543958526200822,1.0,0,2264054515.0,3,0.06910772940254462,领涨,右上加速,76.9,AI数字经济,微型题材,87.9,61.3,45.3,9,1,独立异动
板材,3.84936854697003,3.208494732978823,2.369941176470588,3.6009336973563677,2.1787951450663368,2.755749646243455,0.9411764705882353,0,4166388834.0,17,0.1779748142214035,领涨,右上加速,76.0,其他主题,细分题材,76.9,65.3,89.1,7,2,轮动跟随
公用事业,3.5584342028548357,3.4141240413863727,2.5717096774193546,3.0237058635813163,2.877684097399369,4.499839073198109,0.8387096774193549,3,8614989884.0,31,0.5020401380653456,领涨,右上加速,75.7,环保公用,宽基主线,80.8,56.8,93.1,11,1,独立异动
银行Ⅱ,6.886180247355714,6.712193498459861,0.4304782608695652,3.290388761842089,3.094664131621472,6.987461769051695,0.5652173913043478,0,19997279634.0,23,0.17068718831579677,领涨,右上加速,75.5,金融,宽基主线,76.3,66.6,85.4,6,1,轮动跟随
汽车服务,5.165954885881889,4.89010213649646,2.0334,3.2831815641715556,2.484966370370101,6.058092514126612,1.0,0,150953969.0,5,0.02863731534973768,领涨,右下降温,75.5,汽车机器人,微型题材,82.4,58.5,76.1,10,1,独立异动
股份制银行Ⅲ,6.310423153316492,6.394144927050051,0.5032222222222222,2.4738476645673746,2.4901481744549203,6.935953581143117,0.6666666666666666,0,9890382396.0,9,0.1166409671747144,领涨,右下降温,75.2,金融,细分题材,75.9,66.6,85.4,6,2,轮动跟随
贵金属,3.8721653197801635,2.681138534076972,4.0582,1.2272701878530023,3.473833279602534,8.18607514065166,1.0,0,12130728294.0,10,-0.10593089362599695,领涨,右下降温,74.5,资源化工,细分题材,76.4,68.6,56.3,4,6,主线扩散
综合,3.585133997254738,2.720371367018791,2.1778823529411766,2.32636597067597,2.2216378924785785,2.582720289443663,0.9411764705882353,0,5656303246.0,17,0.07107919103890192,领涨,右上加速,74.1,其他主题,细分题材,74.2,65.3,89.1,7,3,轮动跟随
产业地产,4.514379754758939,3.2819791905316067,1.4005,1.2902897665589164,1.6768904586922373,3.4593221822289744,0.7,0,2995790295.0,10,0.5213025488325809,领涨,右上加速,73.9,地产基建,细分题材,70.1,78.1,78.4,2,5,主线扩散
白色家电,5.386578697107821,2.1667380523039377,2.0486666666666666,2.460147041876737,0.9498478563613411,1.5755637883517748,1.0,0,5958675183.0,3,0.07924494839563545,领涨,右上加速,73.9,大消费,微型题材,73.5,66.8,74.6,5,4,主线扩散
机场,4.02676449481801,2.8379571988614516,0.9530000000000001,1.217692851365637,0.18749440252727734,1.7368290820802823,1.0,0,615157311.0,5,-0.14726849959218757,领涨,右上加速,73.9,交通物流,微型题材,69.9,71.9,90.8,3,3,主线扩散
保险Ⅱ,6.264233670278123,1.1110196507095875,1.9146,2.0842277462419734,1.928024033926845,6.936593981302974,1.0,0,11921818655.0,5,0.15258947388503086,领涨,右上加速,73.7,金融,微型题材,73.9,66.6,85.4,6,3,轮动跟随
食品饮料,4.083406353521432,3.044329858723639,2.359128205128205,2.468971820431909,1.2620779613372601,4.113707654256449,0.9230769230769231,0,5549163180.0,39,0.018062475962707714,领涨,右下降温,73.7,大消费,宽基主线,73.2,66.8,74.6,5,5,主线扩散
信托,3.017194091012783,2.936201427238121,1.3396666666666668,1.2375312584174125,1.6327687964346804,1.9096412738097035,1.0,0,399482552.0,3,0.04827860186617605,领涨,右上加速,73.5,金融,微型题材,73.6,66.6,85.4,6,4,轮动跟随
交通运输,4.8811996893207334,2.9329845567558,1.6677538461538461,1.0662447225388005,0.6960915622577613,4.27121938610715,0.8923076923076924,0,8538192342.0,65,-0.11560371089462906,领涨,右下降温,73.5,交通物流,宽基主线,69.4,71.9,90.8,3,4,主线扩散
啤酒,2.746702204507978,5.839269122654236,0.4302857142857142,2.230025951361525,1.5326642167652338,3.1102407202474147,0.8571428571428571,0,1041560735.0,7,0.007239625729097199,领涨,右上加速,73.2,大消费,细分题材,72.5,66.8,74.6,5,6,主线扩散
非白酒,5.28155499611771,3.6300807412956306,1.1904444444444444,2.6593987315676637,1.566964763450196,4.253390136176538,0.7777777777777778,0,693287427.0,9,-0.009650913314833698,领涨,右下降温,73.0,大消费,细分题材,72.2,66.8,74.6,5,7,主线扩散
综合电商,4.881997368695161,2.4621185518464483,1.211,1.0913761640845232,1.9617001034784476,2.7998948796837286,1.0,0,190014630.0,3,-0.3011313436861137,领涨,右下降温,72.5,大消费,微型题材,71.5,66.8,74.6,5,8,主线扩散
航运,2.936602463877924,1.1270389086446013,2.461105263157895,3.0382054685694992,1.0711537953247863,3.503757224523918,0.8947368421052632,1,8517686839.0,19,0.10838934271131762,领涨,右下降温,72.3,交通物流,细分题材,67.8,71.9,90.8,3,5,主线扩散
跨境物流,3.534807485352879,2.2967622018685687,1.9515384615384617,1.9368476150086744,0.09536350389209858,4.9182323007357365,1.0,0,787911934.0,13,-0.07547016963462994,领涨,右下降温,72.1,交通物流,细分题材,67.4,71.9,90.8,3,6,主线扩散
房地产,3.0611710390284244,4.394515301235004,1.1757460317460318,0.48056574978228017,1.2228206862094027,1.3985285122682711,0.7619047619047619,1,10401208797.0,63,-0.26425770743723287,领涨,右上加速,72.0,地产基建,宽基主线,67.5,78.1,78.4,2,6,主线扩散
医疗器械,4.372641975660081,-0.11501755393026114,2.6533404255319146,1.881812241956471,0.5738877689321908,2.5002033030951054,0.9361702127659575,2,11463537905.0,94,-0.06792010688757633,走弱,右下降温,71.6,医药医疗,宽基主线,66.7,85.7,81.8,1,9,高位降温
石油石化,3.695678737054209,0.7175890262403408,4.197705882352942,2.0269407556961827,1.2764090728183408,3.6634122773908206,0.9411764705882353,2,11260966354.0,17,0.23664063848867856,领涨,右下降温,71.5,资源化工,宽基主线,72.2,68.6,56.3,4,7,主线扩散
预加工食品,3.6755871265541877,2.9494862975065126,0.8439999999999999,2.931854649017862,0.5493524055011134,2.545412588258089,0.9090909090909091,0,1031136335.0,11,0.09693970729393153,领涨,右上加速,70.5,大消费,细分题材,70.8,66.8,74.6,5,9,轮动跟随
摩托车及其他,6.838316676843174,2.859598829850473,2.3854444444444445,-1.401662693353567,-0.5187945602660893,5.215660259940491,1.0,0,1951699697.0,9,-0.030114248709910196,领涨,左下退潮,70.3,汽车机器人,细分题材,72.4,58.5,76.1,10,2,轮动跟随
粮食种植,4.724464178777002,8.66983065512179,-1.6315,-0.4821781234796929,2.8735803055261133,5.460901870857304,0.0,0,558169704.0,2,0.3310756124464165,领涨,右上加速,70.1,农业养殖,微型题材,73.7,62.5,57.5,8,1,轮动跟随
辅料,15.20298782233609,2.108064291055839,1.148,-1.6381268969377083,1.7138894715216457,9.586015660779656,0.75,0,1324931990.0,4,0.06945324239215833,领涨,左下退潮,69.4,大消费,微型题材,69.3,66.8,74.6,5,10,轮动跟随
房地产服务,2.467385762269769,2.1647534450902977,2.0004999999999997,1.1013265416085938,0.8755917823586756,0.3954455975229587,1.0,0,574177669.0,10,-0.20613324554689305,领涨,右上加速,69.4,地产基建,细分题材,63.9,78.1,78.4,2,7,主线扩散
专业连锁Ⅲ,0.9706468247742905,3.447410314132209,1.7035714285714287,1.7764568449173401,1.249035499690554,-0.2465696915562976,1.0,0,672483665.0,7,-0.10024088219072513,领涨,右上加速,68.7,大消费,细分题材,68.4,66.8,74.6,5,11,轮动跟随
钢结构,2.3034740149252406,3.209127133540927,1.4507999999999999,0.7757774045126897,-0.16303034530337213,-0.3864113955671655,0.8,0,818104910.0,10,-0.00877191089679874,领涨,右上加速,68.5,地产基建,细分题材,62.6,78.1,78.4,2,8,主线扩散
文化用品,4.925970079116142,1.9001688358801196,2.066,0.32934393373074133,-0.22161822619281013,4.391770729997679,1.0,0,416385896.0,5,-0.05572854829903029,领涨,右下降温,68.4,大消费,微型题材,67.9,66.8,74.6,5,12,轮动跟随
快递,9.247997531200994,-0.5988619847104287,2.412,2.8290552551359927,-0.4848809580930369,8.799919966840509,1.0,0,2112663186.0,4,-0.10170501614565619,走弱,右下降温,68.4,交通物流,微型题材,62.3,71.9,90.8,3,7,主线扩散
其他饰品,5.145020311174098,1.7037515017003508,1.266,0.46507064900900286,2.0064749331072163,0.3221138977016258,1.0,0,60232094.0,2,-0.35025339867551175,领涨,右上加速,68.3,大消费,微型题材,67.8,66.8,74.6,5,13,轮动跟随
个护用品,6.771907776185334,2.3232201699689665,2.247,0.5962951339426592,0.48479131864280767,4.350092698049468,0.7777777777777778,0,902586792.0,9,0.15134995430249276,领涨,右下降温,68.0,大消费,细分题材,67.4,66.8,74.6,5,14,轮动跟随
普钢,2.2911429846380393,2.6552524187709063,1.4894999999999998,1.6149014092385894,0.6655558019722951,1.237790248775683,1.0,0,394543697.0,6,-0.08077445814142437,领涨,右上加速,67.9,资源化工,细分题材,67.3,68.6,56.3,4,8,主线扩散
零食,4.915334781388087,3.56861366325221,1.3562727272727273,2.406053962472887,0.33529675487089516,5.8127968915503425,0.6363636363636364,0,1550800148.0,11,0.15133287447020938,领涨,右下降温,67.4,大消费,细分题材,66.5,66.8,74.6,5,15,轮动跟随
其他医疗服务,0.45073335441122947,2.901656494490697,1.5398,0.6285567585309515,0.40065319956164025,0.5662394644451618,0.8,0,473249175.0,5,0.05487533586929816,领涨,右上加速,66.9,医药医疗,微型题材,60.1,85.7,81.8,1,10,轮动跟随
人力资源服务,3.9153105556648673,3.8324837006411876,0.991,0.3523937361465945,0.270640913751663,2.4070919000665825,0.6666666666666666,0,154374863.0,3,0.05549941672520564,领涨,右下降温,66.6,大消费,微型题材,65.5,66.8,74.6,5,16,轮动跟随
其他农产品加工,3.388985053260951,3.5002729957228893,1.8851666666666667,2.79792746712626,1.800857157467739,4.289203186208201,0.75,0,1090534125.0,12,0.03395381013191612,领涨,右上加速,66.5,农业养殖,细分题材,68.8,62.5,57.5,8,2,轮动跟随
白酒Ⅱ,3.127853098311576,2.4615261624574667,0.7156315789473685,2.9206317988200947,1.0875551395385763,0.2640570514313323,0.8421052631578947,0,11350330026.0,19,-0.04752945242473461,领涨,右上加速,66.5,大消费,细分题材,65.3,66.8,74.6,5,17,轮动跟随
肉制品,6.342749135284215,2.7959999075625253,0.20685714285714282,2.0921807657524605,1.058968017947115,7.129442586043022,0.42857142857142855,0,1380441587.0,7,-0.00954527239099967,领涨,右下降温,66.1,大消费,细分题材,64.7,66.8,74.6,5,18,轮动跟随
基建市政工程,3.1940303461130526,2.3609807321689615,0.9727037037037037,0.44965249916115724,-0.2807738152884043,1.0896903238523326,0.7037037037037037,1,4004998904.0,27,-0.07022701713971158,领涨,右下降温,66.1,地产基建,细分题材,61.4,78.1,78.4,2,9,轮动跟随
商贸零售,2.7109503347879134,2.2255919708689937,2.0971162790697675,1.7935239405099557,0.9523093966983476,0.8748065794612625,0.8837209302325582,0,4865177636.0,43,-0.06733198642679294,领涨,右上加速,65.5,大消费,宽基主线,63.9,66.8,74.6,5,19,轮动跟随
农林牧渔,5.65115536154351,2.3650792599741615,1.6889545454545456,2.9012390575851033,0.940063159440796,5.200273631813412,0.75,1,8868441373.0,44,-0.1998777615353028,领涨,右上加速,65.2,农业养殖,宽基主线,67.0,62.5,57.5,8,3,轮动跟随
金融控股,4.4944991442147435,2.2216482234613095,0.9434444444444444,-0.20255296113983468,-0.35277611766153516,3.3883502165487744,0.8888888888888888,0,1598343346.0,9,-0.22231073578912974,领涨,右下降温,64.9,金融,细分题材,61.6,66.6,85.4,6,5,轮动跟随
多业态零售,3.261046509292509,3.3326178472191494,1.114,0.11792161742578688,0.6630547440388934,2.3130296960831354,0.7333333333333333,0,1111059019.0,15,-0.08906766652940679,领涨,右下降温,64.6,大消费,细分题材,62.7,66.8,74.6,5,20,轮动跟随
医疗设备,3.175591352842503,0.6658973441019128,2.1848372093023256,1.7021979171731871,0.11872186513317562,1.2161414052087816,0.8372093023255814,0,8580119305.0,43,-0.08816649692139367,领涨,右上加速,64.3,医药医疗,细分题材,56.5,85.7,81.8,1,11,轮动跟随
涂料,5.4784943281229666,5.892542785732048,-1.132,-3.901857747695492,-0.335261393229902,4.180263848653487,0.5,0,235130764.0,2,-0.12964615815680158,领涨,左下退潮,63.8,资源化工,微型题材,63.7,68.6,56.3,4,9,轮动跟随
旅游零售Ⅱ,0.4633459817349121,2.6307259260255296,1.845,1.2973545542665166,1.4336011776780788,-2.839733758108387,1.0,0,1117344301.0,2,-0.3844663029161183,领涨,右上加速,63.7,大消费,微型题材,61.4,66.8,74.6,5,21,轮动跟随
厨房电器,1.353864729537328,6.663472250466838,-0.25933333333333336,-1.10533854310213,2.4311006319253092,-2.089201154715492,0.5,0,411099678.0,6,-0.27245389028506095,领涨,右上加速,63.2,大消费,细分题材,60.7,66.8,74.6,5,22,轮动跟随
纺织制造,4.5744271283844435,-0.40839276905975846,3.203375,1.8861397703792582,-0.2816461970325368,5.963528853864175,1.0,0,944395805.0,8,-0.10856248928136969,走弱,右下降温,63.0,大消费,细分题材,60.5,66.8,74.6,5,23,高位降温
旅游及景区,1.5202437640051618,4.790218423722117,0.7845,-0.642658890413339,-0.1411083431420379,-0.04371400107814338,0.75,0,1155688235.0,12,-0.08993567189341611,领涨,右下降温,62.9,大消费,细分题材,60.3,66.8,74.6,5,24,轮动跟随
农化制品,1.6724165105323745,1.2583715503909796,2.2754545454545454,0.908248339172335,-0.2817867540376717,1.5822516788221552,0.8787878787878788,1,3640120027.0,33,-0.13393385959005322,领涨,右下降温,62.9,其他主题,细分题材,58.6,65.3,89.1,7,4,轮动跟随
其他养殖,7.7597911861116025,2.3012558837764003,0.6993333333333333,1.3344839525956775,1.869029613412998,7.562828405436828,0.6666666666666666,0,99057002.0,3,-0.24787974101387789,领涨,右下降温,62.8,农业养殖,微型题材,63.6,62.5,57.5,8,4,轮动跟随
横向通用软件,2.3278012083472954,7.805217962739559,-0.8795294117647059,-2.6289193061927896,1.6907295376599407,-0.876601680960043,0.20588235294117646,0,12974665447.0,34,-0.05208327774468147,领涨,右上加速,62.2,AI数字经济,细分题材,64.8,61.3,45.3,9,2,轮动跟随
厨房小家电,3.369797067186179,1.0622434247897337,2.1442,1.0801222520907094,-1.4416093581788414,3.433263419528476,1.0,0,508579078.0,10,-0.04501285124205778,领涨,右下降温,62.2,大消费,细分题材,59.3,66.8,74.6,5,25,轮动跟随
视频媒体,7.704751543599843,3.359528206301618,-1.018,-0.2733260171913998,0.8796937622817191,1.4304107941509603,0.0,0,240899742.0,1,-0.10045728655684205,领涨,左上修复,61.9,AI数字经济,微型题材,64.4,61.3,45.3,9,3,轮动跟随
建筑装饰,2.0431146916056373,1.0709617770365119,1.39187012987013,-0.5180795338071253,-0.750266480684525,-1.6933391354409078,0.7532467532467533,2,17199247445.0,77,-0.09696715732686845,领涨,右上加速,61.6,地产基建,宽基主线,55.2,78.1,78.4,2,10,轮动跟随
餐饮,2.598981112619085,2.344538246585374,1.7215,0.6995527854893213,-0.1659337668603822,2.732452502246585,0.75,0,123109932.0,4,-0.045625126535073,领涨,右下降温,61.0,大消费,微型题材,57.7,66.8,74.6,5,26,轮动跟随
大宗用纸,3.2271324914765693,2.8908364290210664,1.4521818181818182,-0.5303170522837131,-1.343192971511964,3.138210905848071,0.8181818181818182,0,1065694372.0,11,-0.15656414061903012,领涨,右下降温,60.9,大消费,细分题材,57.5,66.8,74.6,5,27,轮动跟随
水泥制造,3.2276645227073364,1.5551824969340453,0.9497142857142856,-0.12886923975539144,-0.6289832756885216,1.3717722937659271,0.7142857142857143,0,2304924522.0,14,-0.03460992727829382,领涨,右下降温,60.7,地产基建,细分题材,53.9,78.1,78.4,2,11,轮动跟随
成品家居,4.492489888282013,2.3713234614737706,0.5903529411764706,-0.8888076807583412,-0.7247429936277916,0.3580808857717832,0.5882352941176471,0,1737386966.0,17,-0.04181148806920432,领涨,左下退潮,60.6,大消费,细分题材,57.1,66.8,74.6,5,28,轮动跟随
美容护理,5.727701443192153,-0.21780929556025885,2.194,0.29174989501103976,-1.2326644805646714,2.0086210698254225,0.8,1,1634567553.0,15,-0.16935257379253255,走弱,右下降温,60.1,大消费,细分题材,56.4,66.8,74.6,5,29,高位降温
烘焙食品,2.0407231849916587,1.959370745775954,0.575111111111111,0.5448779545774496,-0.80928290184199,0.5981649688279855,0.7777777777777778,0,681411183.0,9,0.3479403886228456,领涨,右下降温,59.9,大消费,细分题材,56.2,66.8,74.6,5,30,轮动跟随
电力,0.5097102741772219,2.3641737890195977,2.0757755102040814,1.1527960235288903,-0.10518331322715291,-1.1711051252409899,0.9183673469387755,1,13691963677.0,49,-0.044936399449623576,领涨,右上加速,59.8,新能源电力,细分题材,64.2,44.0,57.0,14,1,轮动跟随
彩电,4.459117503853179,2.6740473721647544,-0.08049999999999995,-2.300000612556252,-1.733802656503669,-2.016487747076967,0.5,0,3001176644.0,4,0.04331658229347157,领涨,左下退潮,59.4,大消费,微型题材,55.5,66.8,74.6,5,31,轮动跟随
