行业名称,类型,排名,股票名称,代码,数值,展示
乘用车,5日趋势,1,长安汽车,000625,5.5393586005830775,长安汽车 +5.5%
乘用车,5日趋势,2,海马汽车,000572,4.851752021563338,海马汽车 +4.9%
乘用车,5日趋势,3,上汽集团,600104,3.9054470709146916,上汽集团 +3.9%
乘用车,核心中军,1,上汽集团,600104,769503381.0,上汽集团 7.7亿
乘用车,核心中军,2,长安汽车,000625,629054001.0,长安汽车 6.3亿
乘用车,核心中军,3,海马汽车,000572,578746750.0,海马汽车 5.8亿
交通运输,1日先锋,1,密尔克卫,603713,9.996,密尔克卫 +10.0%
交通运输,1日先锋,2,三羊马,001317,9.993,三羊马 +10.0%
交通运输,1日先锋,3,福然德,605050,3.958,福然德 +4.0%
交通运输,3日动能,1,三羊马,001317,22.359777665487623,三羊马 +22.4%
交通运输,3日动能,2,密尔克卫,603713,11.324996487283979,密尔克卫 +11.3%
交通运输,3日动能,3,音飞储存,603066,10.143442622950815,音飞储存 +10.1%
交通运输,5日趋势,1,三羊马,001317,23.957000255950867,三羊马 +24.0%
交通运输,5日趋势,2,东方嘉盛,002889,9.727626459143979,东方嘉盛 +9.7%
交通运输,5日趋势,3,音飞储存,603066,9.693877551020403,音飞储存 +9.7%
交通运输,核心中军,1,海晨股份,300873,1327300355.0,海晨股份 13.3亿
交通运输,核心中军,2,京沪高铁,601816,896686384.0,京沪高铁 9.0亿
交通运输,核心中军,3,中国东航,600115,828020969.0,中国东航 8.3亿
产业地产,1日先锋,1,空港股份,600463,2.803,空港股份 +2.8%
产业地产,1日先锋,2,上海临港,600848,1.974,上海临港 +2.0%
产业地产,1日先锋,3,中新集团,601512,1.894,中新集团 +1.9%
产业地产,3日动能,1,华夏幸福,600340,8.92857142857142,华夏幸福 +8.9%
产业地产,3日动能,2,电子城,600658,6.451612903225801,电子城 +6.5%
产业地产,3日动能,3,外高桥,600648,6.007509386733423,外高桥 +6.0%
产业地产,5日趋势,1,空港股份,600463,4.805194805194812,空港股份 +4.8%
产业地产,5日趋势,2,电子城,600658,4.485488126649084,电子城 +4.5%
产业地产,5日趋势,3,华夏幸福,600340,4.2735042735042805,华夏幸福 +4.3%
产业地产,核心中军,1,张江高科,600895,1344863573.0,张江高科 13.4亿
产业地产,核心中军,2,电子城,600658,78651659.0,电子城 0.8亿
产业地产,核心中军,3,华夏幸福,600340,77473192.0,华夏幸福 0.8亿
人力资源服务,1日先锋,1,科锐国际,300662,3.143,科锐国际 +3.1%
人力资源服务,1日先锋,2,外服控股,600662,0.73,外服控股 +0.7%
人力资源服务,1日先锋,3,北京人力,600861,0.639,北京人力 +0.6%
人力资源服务,3日动能,1,北京人力,600861,3.2786885245901676,北京人力 +3.3%
人力资源服务,3日动能,2,外服控股,600662,2.7295285359801413,外服控股 +2.7%
人力资源服务,3日动能,3,科锐国际,300662,0.0,科锐国际 +0.0%
人力资源服务,5日趋势,1,北京人力,600861,3.6184210526315708,北京人力 +3.6%
人力资源服务,5日趋势,2,外服控股,600662,3.2418952618453734,外服控股 +3.2%
人力资源服务,5日趋势,3,科锐国际,300662,0.0,科锐国际 +0.0%
人力资源服务,核心中军,1,科锐国际,300662,87218724.0,科锐国际 0.9亿
人力资源服务,核心中军,2,外服控股,600662,45733724.0,外服控股 0.5亿
人力资源服务,核心中军,3,北京人力,600861,21575711.0,北京人力 0.2亿
仪器仪表,1日先锋,1,安培龙,301413,11.424,安培龙 +11.4%
仪器仪表,1日先锋,2,先锋电子,002767,10.0,先锋电子 +10.0%
仪器仪表,1日先锋,3,汉威科技,300007,9.378,汉威科技 +9.4%
仪器仪表,3日动能,1,柯力传感,603662,12.406913025151045,柯力传感 +12.4%
仪器仪表,3日动能,2,先锋电子,002767,8.87145443572721,先锋电子 +8.9%
仪器仪表,3日动能,3,咸亨国际,605056,3.499999999999992,咸亨国际 +3.5%
仪器仪表,5日趋势,1,柯力传感,603662,23.02014454866985,柯力传感 +23.0%
仪器仪表,5日趋势,2,川仪股份,603100,8.988095238095228,川仪股份 +9.0%
仪器仪表,5日趋势,3,先锋电子,002767,6.117647058823517,先锋电子 +6.1%
仪器仪表,核心中军,1,C联讯,688808,4247464600.0,C联讯 42.5亿
仪器仪表,核心中军,2,精智达,688627,3271007408.0,精智达 32.7亿
仪器仪表,核心中军,3,精测电子,300567,2954430745.0,精测电子 29.5亿
会展服务,1日先锋,1,兰生股份,600826,2.146,兰生股份 +2.1%
会展服务,1日先锋,2,米奥会展,300795,1.732,米奥会展 +1.7%
会展服务,1日先锋,3,锋尚文化,300860,-1.107,锋尚文化 -1.1%
会展服务,3日动能,1,兰生股份,600826,8.304891922639367,兰生股份 +8.3%
会展服务,3日动能,2,米奥会展,300795,0.0,米奥会展 +0.0%
会展服务,3日动能,3,锋尚文化,300860,0.0,锋尚文化 +0.0%
会展服务,5日趋势,1,兰生股份,600826,9.425287356321842,兰生股份 +9.4%
会展服务,5日趋势,2,米奥会展,300795,0.0,米奥会展 +0.0%
会展服务,5日趋势,3,锋尚文化,300860,0.0,锋尚文化 +0.0%
会展服务,核心中军,1,兰生股份,600826,111782548.0,兰生股份 1.1亿
会展服务,核心中军,2,锋尚文化,300860,83087559.0,锋尚文化 0.8亿
会展服务,核心中军,3,米奥会展,300795,28199529.0,米奥会展 0.3亿
传媒,1日先锋,1,贵广网络,600996,3.858,贵广网络 +3.9%
传媒,1日先锋,2,中国科传,601858,3.366,中国科传 +3.4%
传媒,1日先锋,3,新经典,603096,2.971,新经典 +3.0%
传媒,3日动能,1,国旅联合,600358,7.920792079207928,国旅联合 +7.9%
传媒,3日动能,2,新华传媒,600825,7.743362831858414,新华传媒 +7.7%
传媒,3日动能,3,中国电影,600977,7.198142414860675,中国电影 +7.2%
传媒,5日趋势,1,儒意电影,002739,10.372040586245767,儒意电影 +10.4%
传媒,5日趋势,2,新华传媒,600825,8.948545861297541,新华传媒 +8.9%
传媒,5日趋势,3,中国电影,600977,7.78210116731517,中国电影 +7.8%
