主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
医药医疗,13,2,70.65384615384616,85.03333333333333,7.165367402580168,7,100.0,85.81443506145322,78.8,93.6,1
高端制造军工,19,4,61.67368421052631,82.5,5.120556562287278,49,52.63157894736842,82.07116478428676,78.0,65.9,2
大消费,58,5,58.54137931034483,84.43333333333332,5.176791677186466,15,77.58620689655173,78.66400158062633,76.5,78.1,3
农业养殖,9,1,62.25555555555555,78.0,7.206997630186594,3,55.55555555555556,61.65501165501166,72.2,58.3,4
汽车机器人,9,2,58.0,70.8,4.915738304691312,29,66.66666666666666,89.28298975075705,69.6,76.8,5
资源化工,36,5,37.85833333333334,73.43333333333334,2.0119660525948357,16,11.11111111111111,49.32624128354093,58.8,28.3,6
交通物流,7,1,50.6,66.2,4.184095768134962,2,71.42857142857143,74.25534991324464,57.1,72.7,7
市场指数,4,0,52.15,54.833333333333336,1.987300948666984,270,75.0,65.23701451568638,54.5,70.6,8
地产基建,16,3,44.075,62.833333333333336,2.3156814686133536,4,56.25,77.9327559015059,52.4,66.0,9
环保公用,3,2,51.333333333333336,51.333333333333336,3.804574204676444,3,66.66666666666666,73.27384310306512,50.2,69.6,10
金融,7,2,42.71428571428571,58.36666666666667,2.6838308699863824,0,28.57142857142857,80.59745637385389,47.5,52.0,11
其他主题,8,1,41.6375,52.06666666666666,3.087297621529772,3,37.5,70.4357203254262,47.1,52.3,12
AI数字经济,13,4,37.915384615384625,59.833333333333336,0.5489618282207822,8,23.076923076923077,54.534763363710724,46.7,37.2,13
新能源电力,15,2,36.24666666666666,45.300000000000004,0.9499529344975651,16,26.666666666666668,63.458088957583826,42.4,43.2,14
半导体电子,9,2,36.388888888888886,47.76666666666667,-3.243033028962721,10,0.0,42.90337515322391,40.0,19.3,15
