行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,ST银江,300020,13.256,ST银江 +13.3%
IT服务Ⅱ,1日先锋,2,海峡创新,300300,4.485,海峡创新 +4.5%
IT服务Ⅱ,1日先锋,3,*ST赛为,300044,3.957,*ST赛为 +4.0%
IT服务Ⅱ,3日动能,1,能科科技,603859,11.481156879929898,能科科技 +11.5%
IT服务Ⅱ,3日动能,2,紫光股份,000938,10.632621951219523,紫光股份 +10.6%
IT服务Ⅱ,3日动能,3,宝信软件,600845,10.091185410334358,宝信软件 +10.1%
IT服务Ⅱ,5日趋势,1,宝信软件,600845,6.0304449648711955,宝信软件 +6.0%
IT服务Ⅱ,5日趋势,2,启明信息,002232,5.488239486813984,启明信息 +5.5%
IT服务Ⅱ,5日趋势,3,能科科技,603859,5.189166838949766,能科科技 +5.2%
IT服务Ⅱ,核心中军,1,紫光股份,000938,6401919439.0,紫光股份 64.0亿
IT服务Ⅱ,核心中军,2,宏景科技,301396,4062791362.0,宏景科技 40.6亿
IT服务Ⅱ,核心中军,3,神州数码,000034,2695268357.0,神州数码 27.0亿
专业工程,1日先锋,1,利柏特,605167,4.167,利柏特 +4.2%
专业工程,1日先锋,2,镇海股份,603637,2.304,镇海股份 +2.3%
专业工程,1日先锋,3,中材国际,600970,1.986,中材国际 +2.0%
专业工程,3日动能,1,利柏特,605167,16.20185922974766,利柏特 +16.2%
专业工程,3日动能,2,ST百利,603959,0.22172949002217113,ST百利 +0.2%
专业工程,3日动能,3,三联虹普,300384,0.0,三联虹普 +0.0%
专业工程,5日趋势,1,利柏特,605167,14.006514657980462,利柏特 +14.0%
专业工程,5日趋势,2,ST百利,603959,3.66972477064218,ST百利 +3.7%
专业工程,5日趋势,3,三联虹普,300384,0.0,三联虹普 +0.0%
专业工程,核心中军,1,中国化学,601117,772273973.0,中国化学 7.7亿
专业工程,核心中军,2,中工国际,002051,532545588.0,中工国际 5.3亿
专业工程,核心中军,3,利柏特,605167,303869382.0,利柏特 3.0亿
专业连锁Ⅲ,1日先锋,1,吉峰科技,300022,5.5,吉峰科技 +5.5%
专业连锁Ⅲ,1日先锋,2,爱婴室,603214,0.875,爱婴室 +0.9%
专业连锁Ⅲ,1日先锋,3,孩子王,301078,-0.726,孩子王 -0.7%
专业连锁Ⅲ,3日动能,1,天音控股,000829,6.488011283497874,天音控股 +6.5%
专业连锁Ⅲ,3日动能,2,爱婴室,603214,3.089430894308931,爱婴室 +3.1%
专业连锁Ⅲ,3日动能,3,爱施德,002416,0.22421524663676085,爱施德 +0.2%
专业连锁Ⅲ,5日趋势,1,爱婴室,603214,1.847389558232937,爱婴室 +1.8%
专业连锁Ⅲ,5日趋势,2,吉峰科技,300022,0.0,吉峰科技 +0.0%
专业连锁Ⅲ,5日趋势,3,博士眼镜,300622,0.0,博士眼镜 +0.0%
专业连锁Ⅲ,核心中军,1,吉峰科技,300022,208706934.0,吉峰科技 2.1亿
专业连锁Ⅲ,核心中军,2,爱施德,002416,187502022.0,爱施德 1.9亿
专业连锁Ⅲ,核心中军,3,天音控股,000829,182205154.0,天音控股 1.8亿
专用设备,1日先锋,1,天永智能,603895,5.876,天永智能 +5.9%
专用设备,1日先锋,2,浩洋股份,300833,4.768,浩洋股份 +4.8%
专用设备,1日先锋,3,博科测试,301598,3.702,博科测试 +3.7%
专用设备,3日动能,1,上海亚虹,603159,12.356841470765524,上海亚虹 +12.4%
专用设备,3日动能,2,中坚科技,002779,12.251470176421165,中坚科技 +12.3%
专用设备,3日动能,3,精工科技,002006,11.190306486101221,精工科技 +11.2%
专用设备,5日趋势,1,中坚科技,002779,11.688492616327672,中坚科技 +11.7%
专用设备,5日趋势,2,威派格,603956,10.943396226415093,威派格 +10.9%
专用设备,5日趋势,3,三佳科技,600520,9.55794504181602,三佳科技 +9.6%
专用设备,核心中军,1,英维克,002837,3790190469.0,英维克 37.9亿
专用设备,核心中军,2,正帆科技,688596,3079646424.0,正帆科技 30.8亿
专用设备,核心中军,3,芯碁微装,688630,2802241592.0,芯碁微装 28.0亿
个护用品,1日先锋,1,豪悦护理,605009,4.591,豪悦护理 +4.6%
个护用品,1日先锋,2,延江股份,300658,2.558,延江股份 +2.6%
个护用品,1日先锋,3,百亚股份,003006,1.982,百亚股份 +2.0%
个护用品,3日动能,1,豪悦护理,605009,8.11044003451251,豪悦护理 +8.1%
个护用品,3日动能,2,诺邦股份,603238,3.0276046304541504,诺邦股份 +3.0%
个护用品,3日动能,3,中顺洁柔,002511,1.9316493313521477,中顺洁柔 +1.9%
个护用品,5日趋势,1,豪悦护理,605009,15.324436263230545,豪悦护理 +15.3%
个护用品,5日趋势,2,百亚股份,003006,8.194343727338648,百亚股份 +8.2%
个护用品,5日趋势,3,中顺洁柔,002511,2.5411061285500747,中顺洁柔 +2.5%
个护用品,核心中军,1,延江股份,300658,159984338.0,延江股份 1.6亿
个护用品,核心中军,2,百亚股份,003006,108464682.0,百亚股份 1.1亿
个护用品,核心中军,3,依依股份,001206,103917587.0,依依股份 1.0亿
乘用车,1日先锋,1,海马汽车,000572,10.08,海马汽车 +10.1%
乘用车,1日先锋,2,上汽集团,600104,1.022,上汽集团 +1.0%
乘用车,1日先锋,3,长城汽车,601633,-0.398,长城汽车 -0.4%
乘用车,3日动能,1,海马汽车,000572,12.466124661246614,海马汽车 +12.5%
乘用车,3日动能,2,上汽集团,600104,0.6109979633401208,上汽集团 +0.6%
乘用车,3日动能,3,广汽集团,601238,0.5859375,广汽集团 +0.6%
乘用车,5日趋势,1,海马汽车,000572,7.792207792207795,海马汽车 +7.8%
乘用车,5日趋势,2,长安汽车,000625,1.5647226173541862,长安汽车 +1.6%
乘用车,5日趋势,3,上汽集团,600104,-1.7892644135188873,上汽集团 -1.8%
乘用车,核心中军,1,上汽集团,600104,790073991.0,上汽集团 7.9亿
乘用车,核心中军,2,长安汽车,000625,703514699.0,长安汽车 7.0亿
乘用车,核心中军,3,长城汽车,601633,371189203.0,长城汽车 3.7亿
交通运输,1日先锋,1,三羊马,001317,9.993,三羊马 +10.0%
交通运输,1日先锋,2,*ST瑞茂,600180,5.344,*ST瑞茂 +5.3%
交通运输,1日先锋,3,*ST海钦,600753,4.968,*ST海钦 +5.0%
交通运输,3日动能,1,*ST瑞茂,600180,15.966386554621836,*ST瑞茂 +16.0%
交通运输,3日动能,2,三羊马,001317,12.868495257626256,三羊马 +12.9%
交通运输,3日动能,3,东方嘉盛,002889,8.923375363724539,东方嘉盛 +8.9%
交通运输,5日趋势,1,*ST瑞茂,600180,27.777777777777768,*ST瑞茂 +27.8%
交通运输,5日趋势,2,宏川智慧,002930,16.102683780630088,宏川智慧 +16.1%
交通运输,5日趋势,3,山东高速,600350,11.090225563909772,山东高速 +11.1%
交通运输,核心中军,1,海晨股份,300873,1880109323.0,海晨股份 18.8亿
交通运输,核心中军,2,中国东航,600115,883988899.0,中国东航 8.8亿
交通运输,核心中军,3,京沪高铁,601816,818509682.0,京沪高铁 8.2亿
产业地产,1日先锋,1,ST海泰,600082,4.851,ST海泰 +4.9%
产业地产,1日先锋,2,华夏幸福,600340,4.31,华夏幸福 +4.3%
产业地产,1日先锋,3,浦东金桥,600639,1.419,浦东金桥 +1.4%
产业地产,3日动能,1,电子城,600658,9.89304812834224,电子城 +9.9%
产业地产,3日动能,2,ST海泰,600082,9.338521400778221,ST海泰 +9.3%
产业地产,3日动能,3,华夏幸福,600340,5.21739130434784,华夏幸福 +5.2%
产业地产,5日趋势,1,张江高科,600895,8.988077040660336,张江高科 +9.0%
产业地产,5日趋势,2,电子城,600658,4.580152671755733,电子城 +4.6%
产业地产,5日趋势,3,华夏幸福,600340,4.31034482758621,华夏幸福 +4.3%
产业地产,核心中军,1,张江高科,600895,1738881909.0,张江高科 17.4亿
产业地产,核心中军,2,电子城,600658,136265095.0,电子城 1.4亿
产业地产,核心中军,3,华夏幸福,600340,79650085.0,华夏幸福 0.8亿
人力资源服务,1日先锋,1,北京人力,600861,0.805,北京人力 +0.8%
人力资源服务,1日先锋,2,外服控股,600662,0.244,外服控股 +0.2%
人力资源服务,1日先锋,3,科锐国际,300662,0.172,科锐国际 +0.2%
人力资源服务,3日动能,1,外服控股,600662,1.985111662531014,外服控股 +2.0%
人力资源服务,3日动能,2,北京人力,600861,0.24019215372297342,北京人力 +0.2%
人力资源服务,3日动能,3,科锐国际,300662,0.0,科锐国际 +0.0%
人力资源服务,5日趋势,1,外服控股,600662,0.9828009828009909,外服控股 +1.0%
人力资源服务,5日趋势,2,北京人力,600861,0.07993605115907965,北京人力 +0.1%
人力资源服务,5日趋势,3,科锐国际,300662,0.0,科锐国际 +0.0%
人力资源服务,核心中军,1,科锐国际,300662,75261305.0,科锐国际 0.8亿
人力资源服务,核心中军,2,外服控股,600662,64574090.0,外服控股 0.6亿
人力资源服务,核心中军,3,北京人力,600861,24984226.0,北京人力 0.2亿
仪器仪表,1日先锋,1,集智股份,300553,6.716,集智股份 +6.7%
仪器仪表,1日先锋,2,*ST东智,002175,5.063,*ST东智 +5.1%
仪器仪表,1日先锋,3,海川智能,300720,4.932,海川智能 +4.9%
仪器仪表,3日动能,1,柯力传感,603662,14.095826893353935,柯力传感 +14.1%
仪器仪表,3日动能,2,威星智能,002849,7.867360208062402,威星智能 +7.9%
仪器仪表,3日动能,3,川仪股份,603100,6.800709639266689,川仪股份 +6.8%
仪器仪表,5日趋势,1,柯力传感,603662,9.900253089176703,柯力传感 +9.9%
仪器仪表,5日趋势,2,川仪股份,603100,8.92641737032569,川仪股份 +8.9%
仪器仪表,5日趋势,3,威星智能,002849,3.4934497816593746,威星智能 +3.5%
仪器仪表,核心中军,1,精智达,688627,4720629568.0,精智达 47.2亿
仪器仪表,核心中军,2,精测电子,300567,3967471237.0,精测电子 39.7亿
仪器仪表,核心中军,3,海川智能,300720,2257064103.0,海川智能 22.6亿
会展服务,1日先锋,1,锋尚文化,300860,2.38,锋尚文化 +2.4%
会展服务,1日先锋,2,米奥会展,300795,-0.574,米奥会展 -0.6%
会展服务,1日先锋,3,兰生股份,600826,-3.619,兰生股份 -3.6%
会展服务,3日动能,1,兰生股份,600826,4.367301231802911,兰生股份 +4.4%
会展服务,3日动能,2,米奥会展,300795,0.0,米奥会展 +0.0%
会展服务,3日动能,3,锋尚文化,300860,0.0,锋尚文化 +0.0%
会展服务,5日趋势,1,兰生股份,600826,2.192982456140369,兰生股份 +2.2%
会展服务,5日趋势,2,米奥会展,300795,0.0,米奥会展 +0.0%
会展服务,5日趋势,3,锋尚文化,300860,0.0,锋尚文化 +0.0%
会展服务,核心中军,1,兰生股份,600826,150264415.0,兰生股份 1.5亿
会展服务,核心中军,2,锋尚文化,300860,130464100.0,锋尚文化 1.3亿
会展服务,核心中军,3,米奥会展,300795,32511302.0,米奥会展 0.3亿
传媒,1日先锋,1,福石控股,300071,19.891,福石控股 +19.9%
传媒,1日先锋,2,欢瑞世纪,000892,10.145,欢瑞世纪 +10.1%
传媒,1日先锋,3,天地在线,002995,10.006,天地在线 +10.0%
传媒,3日动能,1,欢瑞世纪,000892,15.501519756838888,欢瑞世纪 +15.5%
传媒,3日动能,2,天地在线,002995,13.757225433526,天地在线 +13.8%
传媒,3日动能,3,天娱数科,002354,13.501646542261248,天娱数科 +13.5%
传媒,5日趋势,1,天娱数科,002354,28.767123287671236,天娱数科 +28.8%
传媒,5日趋势,2,ST华扬,603825,13.216560509554132,ST华扬 +13.2%
传媒,5日趋势,3,欢瑞世纪,000892,12.09439528023597,欢瑞世纪 +12.1%
传媒,核心中军,1,蓝色光标,300058,7644018657.0,蓝色光标 76.4亿
传媒,核心中军,2,易点天下,301171,3394357643.0,易点天下 33.9亿
传媒,核心中军,3,光线传媒,300251,1129858246.0,光线传媒 11.3亿
保险Ⅱ,1日先锋,1,中国人保,601319,-0.414,中国人保 -0.4%
保险Ⅱ,1日先锋,2,中国人寿,601628,-0.696,中国人寿 -0.7%
保险Ⅱ,1日先锋,3,中国太保,601601,-1.2,中国太保 -1.2%
保险Ⅱ,3日动能,1,中国人寿,601628,7.750419697817557,中国人寿 +7.8%
保险Ⅱ,3日动能,2,新华保险,601336,4.942965779467667,新华保险 +4.9%
保险Ⅱ,3日动能,3,中国人保,601319,3.142857142857136,中国人保 +3.1%
保险Ⅱ,5日趋势,1,中国人寿,601628,4.39143399295201,中国人寿 +4.4%
保险Ⅱ,5日趋势,2,新华保险,601336,0.06305170239595537,新华保险 +0.1%
保险Ⅱ,5日趋势,3,中国人保,601319,0.0,中国人保 +0.0%
保险Ⅱ,核心中军,1,中国平安,601318,4528699940.0,中国平安 45.3亿
保险Ⅱ,核心中军,2,新华保险,601336,2622008167.0,新华保险 26.2亿
保险Ⅱ,核心中军,3,中国人寿,601628,2275244125.0,中国人寿 22.8亿
信托,1日先锋,1,陕国投Ａ,000563,-0.699,陕国投Ａ -0.7%
信托,1日先锋,2,国网英大,600517,-1.042,国网英大 -1.0%
信托,1日先锋,3,建元信托,600816,-1.984,建元信托 -2.0%
信托,3日动能,1,陕国投Ａ,000563,1.0676156583629748,陕国投Ａ +1.1%
信托,3日动能,2,国网英大,600517,0.42283298097249844,国网英大 +0.4%
信托,3日动能,3,建元信托,600816,0.40650406504065817,建元信托 +0.4%
信托,5日趋势,1,陕国投Ａ,000563,-2.73972602739726,陕国投Ａ -2.7%
信托,5日趋势,2,国网英大,600517,-3.455284552845528,国网英大 -3.5%
信托,5日趋势,3,建元信托,600816,-5.363984674329492,建元信托 -5.4%
信托,核心中军,1,建元信托,600816,155556785.0,建元信托 1.6亿
信托,核心中军,2,国网英大,600517,124919574.0,国网英大 1.2亿
信托,核心中军,3,陕国投Ａ,000563,119851926.0,陕国投Ａ 1.2亿
元件,1日先锋,1,*ST东晶,002199,3.193,*ST东晶 +3.2%
元件,1日先锋,2,XD奥迪威,920491,0.385,XD奥迪威 +0.4%
元件,1日先锋,3,ST惠伦,300460,-2.074,ST惠伦 -2.1%
元件,3日动能,1,*ST东晶,002199,5.953408110440028,*ST东晶 +6.0%
元件,3日动能,2,泰晶科技,603738,0.694444444444442,泰晶科技 +0.7%
元件,3日动能,3,胜业电气,920128,0.0,胜业电气 +0.0%
元件,5日趋势,1,*ST东晶,002199,1.9933554817275656,*ST东晶 +2.0%
元件,5日趋势,2,胜业电气,920128,0.0,胜业电气 +0.0%
元件,5日趋势,3,XD奥迪威,920491,0.0,XD奥迪威 +0.0%
元件,核心中军,1,三环集团,300408,13653519116.0,三环集团 136.5亿
元件,核心中军,2,风华高科,000636,5891082915.0,风华高科 58.9亿
元件,核心中军,3,麦捷科技,300319,4630374975.0,麦捷科技 46.3亿
