主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
大消费,58,5,57.925862068965515,89.93333333333334,1.7120952273236036,12,43.103448275862064,56.02205482832322,80.4,48.9,1
农业养殖,9,1,65.0888888888889,83.23333333333333,4.40098321990759,6,44.44444444444444,67.63144263144262,77.2,54.9,2
医药医疗,13,2,62.423076923076934,78.66666666666667,2.005360409173755,9,38.46153846153847,52.079815893196454,75.3,44.6,3
高端制造军工,19,4,56.473684210526315,72.13333333333333,0.4938195393263082,21,15.789473684210526,37.4624850952476,70.2,25.5,4
资源化工,36,5,43.483333333333334,79.86666666666666,-0.16869823426473338,21,16.666666666666664,53.50491652585156,69.8,33.2,5
市场指数,4,0,60.675,63.03333333333334,-0.25053059898149377,205,0.0,35.99720842141029,64.7,16.2,6
交通物流,7,1,54.51428571428572,71.93333333333334,1.2048736584289717,2,57.14285714285714,70.84224985540774,63.6,63.3,7
汽车机器人,9,2,45.84444444444445,58.333333333333336,-0.2533448199645171,10,22.22222222222222,45.73186000465874,55.0,32.8,8
地产基建,16,3,44.1875,66.16666666666667,-0.5611519968445146,6,25.0,36.55544108669109,54.5,30.2,9
AI数字经济,13,4,42.51538461538462,62.5,-2.74414999693948,9,7.6923076923076925,36.75602858497596,51.2,20.8,10
半导体电子,9,2,44.8111111111111,67.23333333333333,-3.852333804284596,4,0.0,13.496161688236704,49.2,6.1,11
其他主题,8,1,43.65,52.166666666666664,-0.19745843676120672,3,12.5,57.76686548745372,48.7,32.9,12
新能源电力,15,2,34.35333333333333,47.96666666666667,-2.8756563234881516,8,0.0,22.179041243086584,39.9,10.0,13
环保公用,3,2,44.333333333333336,44.333333333333336,-0.5708228912022051,1,0.0,50.0573476702509,39.6,22.5,14
金融,7,2,36.77142857142858,44.06666666666666,-1.6702766465046488,0,0.0,31.478813998778506,35.9,14.2,15
