行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分,主线家族,题材层级,个体活跃分,家族强度,家族共振度,家族排名,家族内排名,题材地位
辅料,14.662126767981155,6.731016503825721,4.91775,0.11325891816438283,6.266614702462725,22.81221995137801,1.0,1,1254619734.0,4,1.0913712152554362,领涨,左下退潮,90.4,大消费,微型题材,94.5,80.4,48.9,1,1,主线核心
饲料,3.5007646912422454,5.456030403785273,1.8889230769230767,7.3670558056298185,9.506446048193684,5.0691631965941175,0.6923076923076923,2,2737755115.0,13,0.5177441011210588,领涨,右上加速,86.8,农业养殖,细分题材,89.4,77.2,54.9,2,1,主线核心
美容护理,4.207714831984706,5.202790428441964,1.6253333333333335,7.094076483764722,9.091035007074822,4.009728892777864,0.6,1,2459777387.0,15,1.1151763677860056,领涨,右上加速,86.0,大消费,细分题材,88.4,80.4,48.9,1,2,主线核心
纺织鞋类制造,5.77394549719108,2.8153343407118814,2.415,5.4792567999999875,5.4792567999999875,5.4792567999999875,1.0,0,88653512.0,1,3.6813730023943014,领涨,右上加速,84.9,大消费,微型题材,86.9,80.4,48.9,1,3,主线核心
电商服务,5.5117495622032315,8.338915679523588,-1.24,7.3310988716577485,12.044313115498229,2.486143759719206,0.5,0,2709144139.0,8,2.0942636755608772,领涨,右上加速,82.3,大消费,细分题材,85.3,80.4,48.9,1,4,主线扩散
医药生物,2.536891553801649,1.847805284034708,1.191575892857143,4.439078927584417,4.030226043753782,3.1405519710641094,0.6785714285714286,8,77619499876.0,224,1.0101360702326985,领涨,右下降温,81.5,医药医疗,宽基主线,84.0,75.3,44.6,3,1,主线核心
快递,7.282462593823799,8.021348749593171,2.13875,12.578222180464582,11.746177296938477,9.552110866182883,1.0,0,4385964318.0,4,1.0967135709531055,领涨,右上加速,81.1,交通物流,微型题材,90.7,63.6,63.3,7,1,独立异动
其他养殖,0.6331243380347812,2.482694047328287,2.908666666666667,7.146168020471433,7.907217608765715,3.500409550528949,1.0,0,177280640.0,3,1.1257113890658506,领涨,右上加速,81.0,农业养殖,微型题材,81.4,77.2,54.9,2,2,主线核心
个护用品,3.3634596468053553,4.307348172078924,1.303111111111111,0.24849739948369365,4.134548718699005,2.6179827650471,0.7777777777777778,0,728061479.0,9,0.4321274186703983,领涨,左下退潮,79.6,大消费,细分题材,81.6,80.4,48.9,1,5,主线扩散
农林牧渔,0.40420694235733984,2.688429847107025,0.44763636363636367,4.041047364134198,5.179382841088187,-0.6079528536411027,0.5227272727272727,2,12923208874.0,44,0.442242294065031,领涨,右上加速,79.2,农业养殖,宽基主线,78.9,77.2,54.9,2,3,主线核心
家用电器,4.592402218619614,3.8180257435962415,-0.34051219512195113,5.047275595421508,4.685089925616426,0.8602682377272242,0.24390243902439024,2,18909167717.0,41,0.5272423824917725,领涨,右上加速,78.5,大消费,宽基主线,80.0,80.4,48.9,1,6,主线扩散
厨卫电器,0.5770812588255699,5.825188450044089,-1.2723333333333335,3.5941991940415585,4.492223235873616,-1.3096460878339045,0.6666666666666666,0,305579048.0,3,0.573353168935635,领涨,右上加速,77.7,大消费,微型题材,78.9,80.4,48.9,1,7,主线扩散
冰洗,1.534364812819559,4.03897100398337,0.8415714285714284,4.831539724600664,6.0614176577946655,-3.7850682236544975,0.7142857142857143,0,2009506480.0,7,0.1577792008684502,领涨,右上加速,77.5,大消费,细分题材,78.7,80.4,48.9,1,8,主线扩散
农产品加工,7.090943165844067,1.9230343211878804,0.11549999999999987,7.315644485288919,7.946059507253289,-0.8279970372316314,0.3333333333333333,1,1267177430.0,6,0.0496421917645522,领涨,右上加速,75.9,农业养殖,细分题材,76.4,77.2,54.9,2,4,主线扩散
其他生物制品,3.742155601939578,3.228465903629985,-0.32389473684210524,3.245274939329912,4.035315382017912,4.02313856073766,0.3684210526315789,0,15235938122.0,38,1.82296695287225,领涨,右上加速,75.9,医药医疗,细分题材,76.2,75.3,44.6,3,2,主线核心
综合包装,3.577149583390142,1.5183857355699306,1.0636666666666665,10.381208661357633,7.225419840038216,5.597735041612784,0.6666666666666666,0,929944243.0,6,0.8121575030715336,领涨,右上加速,75.7,大消费,细分题材,78.3,80.4,48.9,1,9,轮动跟随
橡胶助剂,51.82037500789789,27.547108854833727,0.4740000000000002,11.779008225850895,35.25259995327963,55.61556228077025,0.5,0,6690190741.0,2,0.6814147096660532,领涨,左下退潮,75.6,资源化工,微型题材,85.7,69.8,33.2,5,1,独立异动
医疗美容,-0.47545816119653966,2.0286316051771744,3.738,8.823736030246398,8.819138227399126,-1.773273939295572,1.0,0,31938800.0,1,0.27732690153398476,修复,右上加速,75.6,医药医疗,微型题材,75.8,75.3,44.6,3,3,主线核心
成品家居,1.4889973946335289,3.500541917233876,0.844,1.6350433831889388,2.2938951860121293,1.6515683425412764,0.5882352941176471,1,2159792605.0,17,0.40747218637079463,领涨,左下退潮,75.5,大消费,细分题材,78.0,80.4,48.9,1,10,轮动跟随
医疗器械,2.529476835541707,1.7091293854357679,0.04186170212765958,2.648221586205568,2.0174146720061126,0.3518186402286183,0.4574468085106383,1,14598004975.0,94,1.4089115162410515,领涨,右下降温,73.7,医药医疗,宽基主线,75.2,75.3,44.6,3,4,主线扩散
饰品,1.1172482859631054,1.9692429184053513,1.2737692307692308,4.040339149551642,3.6111789201518585,-1.3519262149069289,0.6923076923076923,0,1802219289.0,13,0.5476980592161411,领涨,右上加速,73.4,大消费,细分题材,75.0,80.4,48.9,1,11,轮动跟随
医美耗材,4.654025086959254,2.380890051494395,0.11699999999999995,2.542501186666657,2.542501186666657,2.542501186666657,0.3333333333333333,0,619429116.0,3,3.6066713381056514,领涨,左下退潮,72.5,医药医疗,微型题材,73.6,75.3,44.6,3,5,主线扩散
有机硅,12.57605376639905,5.973171558238783,-0.38470000000000004,2.8974019118605643,8.10957891300086,6.5274265908179085,0.3,0,7237395475.0,10,1.006870240487935,领涨,左下退潮,71.8,资源化工,细分题材,80.5,69.8,33.2,5,2,独立异动
卫浴制品,2.4957509844641437,1.7215374952291507,1.1362857142857143,3.229476137478815,4.1154100829963625,1.674154045573073,0.5714285714285714,0,428860155.0,7,0.23161518481648447,领涨,右上加速,71.7,大消费,细分题材,72.7,80.4,48.9,1,12,轮动跟随
造纸,0.4298026195520592,3.168616236310081,1.1668461538461539,3.9137008312063903,3.501951370983969,-0.5420648666908057,0.38461538461538464,1,2071694186.0,13,0.14117315952575415,领涨,右上加速,71.7,大消费,细分题材,72.7,80.4,48.9,1,13,轮动跟随
