行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分,主线家族,题材层级,个体活跃分,家族强度,家族共振度,家族排名,家族内排名,题材地位
油服工程,5.636514737923822,6.61048361253201,2.637,8.0494423326247,4.0204769494160075,9.224437668098684,0.875,1,2933652505.0,8,0.6171237552306981,领涨,右上加速,87.8,地产基建,细分题材,91.7,70.9,75.4,4,1,主线扩散
电信运营商,3.968814106194008,6.478776874666536,1.7093333333333334,2.54853338113068,3.316946000795107,4.479165881885616,1.0,0,2745664587.0,3,0.327284653843847,领涨,右上加速,87.0,AI数字经济,微型题材,87.4,76.5,73.1,1,1,主线核心
医药流通,4.519856536815266,5.503871796302957,2.1890454545454543,2.1879866706996154,0.5681271934042664,6.921118042301977,1.0,0,2794426705.0,22,0.23003945574523987,领涨,右上加速,84.2,医药医疗,细分题材,84.0,74.8,88.0,2,1,主线扩散
农业综合Ⅱ,2.121976773209285,7.254110684804469,2.797,-2.609755887459242,2.488732864959342,3.404754258817233,1.0,0,180859166.0,3,0.2256623216103366,领涨,左上修复,83.5,农业养殖,微型题材,83.5,72.7,87.7,3,1,主线扩散
其他养殖,6.291682959809506,4.586862230164392,3.8136666666666668,4.3612901694040085,-1.3143204252143992,12.316763691939968,1.0,0,172257657.0,3,0.4120313766935444,领涨,右下降温,81.7,农业养殖,微型题材,81.0,72.7,87.7,3,2,主线扩散
视频媒体,7.209744141912118,1.547792071656626,4.993,6.206907983405596,3.94527393583457,6.78670705839548,1.0,0,423450469.0,1,0.992849200015731,领涨,右上加速,81.2,AI数字经济,微型题材,79.4,76.5,73.1,1,2,主线核心
航海装备Ⅲ,4.853161872298251,4.815091917404765,6.2976,4.882690227597819,3.1537032009807175,9.268406847826771,1.0,2,14663491906.0,10,0.6078916634161191,领涨,右上加速,79.3,高端制造军工,细分题材,92.0,57.8,46.5,9,1,独立异动
横向通用软件,1.3309158015557092,5.739977490573248,1.9212285714285713,6.4427344849459,2.189073275166553,10.390394857263697,0.7714285714285715,0,20562224198.0,35,0.7550265880571492,领涨,右上加速,79.0,AI数字经济,细分题材,76.3,76.5,73.1,1,3,主线核心
股份制银行Ⅲ,3.7446493084633588,6.066885441723742,0.6990000000000001,0.7150181849572057,2.260637935932097,2.6741601731270492,0.8888888888888888,0,8390991500.0,9,-0.06884376865538788,领涨,右上加速,78.5,金融,细分题材,78.8,69.3,77.7,5,1,主线扩散
医疗服务,5.510293545551051,-0.22322670429144123,5.94234090909091,4.322080400550332,1.7863629233165979,8.136743619882946,0.9772727272727273,7,33945423379.0,44,0.24429334425020977,走弱,右下降温,78.5,医药医疗,细分题材,76.0,74.8,88.0,2,2,主线扩散
教育出版,3.8993344272807575,5.07290496912164,0.8324999999999999,1.5536631970026527,1.5148082285492581,4.205020796587022,0.8,0,772925439.0,10,0.25829214418337365,领涨,右上加速,77.4,大消费,细分题材,79.2,68.1,81.6,6,1,轮动跟随
饲料,5.685917283948746,2.5025940962384263,3.1655384615384614,1.090472520422292,0.6771372911202889,9.029371685319742,0.8461538461538461,2,1775309733.0,13,-0.10050857361865295,领涨,右下降温,77.4,农业养殖,细分题材,75.1,72.7,87.7,3,3,主线扩散
传媒,0.8662770881829355,2.8238652288947947,3.552075,4.321116761603783,0.43218872436019407,2.997415814292692,0.9625,4,35685845418.0,80,0.5769654363359618,领涨,右上加速,77.4,AI数字经济,宽基主线,76.2,76.5,73.1,1,4,主线扩散
粮油加工,3.2868385179824826,4.48971070058771,1.8562857142857143,0.6762136082988146,-0.6694649936808794,3.746768730357486,1.0,0,496067684.0,7,0.2595914062129854,领涨,右上加速,77.4,大消费,细分题材,79.2,68.1,81.6,6,2,轮动跟随
超市,2.839826552533401,3.4407392449736505,2.6315714285714287,4.265129504643328,0.8467415081648166,5.374483721972645,1.0,0,2234944067.0,7,0.29004586310938363,领涨,右上加速,77.3,大消费,细分题材,79.0,68.1,81.6,6,3,轮动跟随
