主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
AI数字经济,13,4,58.607692307692304,81.03333333333335,-0.6829403966994658,13,69.23076923076923,77.79084275136906,76.5,73.1,1
医药医疗,13,2,64.8076923076923,77.83333333333333,-1.8586239015497001,21,84.61538461538461,92.21562920399478,74.8,88.0,2
农业养殖,9,1,65.76666666666667,79.86666666666666,-1.2099048401333417,3,88.88888888888889,86.28593628593629,72.7,87.7,3
地产基建,16,3,57.49375,80.36666666666666,-2.0725205229523507,12,68.75,83.51353051188578,70.9,75.4,4
金融,7,2,61.885714285714286,75.66666666666667,-0.4355497634032233,0,85.71428571428571,67.86585592264386,69.3,77.7,5
大消费,58,5,56.80344827586206,79.13333333333334,-2.495365469304075,10,82.75862068965517,80.1144756044785,68.1,81.6,6
交通物流,7,1,63.04285714285714,69.86666666666666,-1.5848474154358192,2,100.0,81.8230672835936,65.0,91.8,7
汽车机器人,9,2,58.22222222222222,74.33333333333334,-2.6697300888270235,7,77.77777777777779,80.54492778942465,64.4,79.0,8
高端制造军工,19,4,39.42631578947368,69.26666666666667,-4.9567679287842585,27,26.31578947368421,71.12345324581678,57.8,46.5,9
其他主题,8,1,52.3,63.56666666666666,-2.8908869607207026,0,75.0,71.19003953562778,52.9,73.3,10
资源化工,36,5,34.42777777777778,73.76666666666667,-5.901901787536407,12,41.66666666666667,54.790539120179595,52.8,47.6,11
市场指数,4,0,44.125,45.36666666666667,-3.918217216058789,227,50.0,64.53113848241037,48.7,56.5,12
环保公用,3,2,52.53333333333333,52.53333333333334,-3.058429940248986,2,100.0,67.92826982580303,47.7,85.6,13
新能源电力,15,2,34.940000000000005,51.9,-5.703443754501679,17,33.33333333333333,78.48800227329097,44.7,53.7,14
半导体电子,9,2,30.65555555555556,53.633333333333326,-5.366760507758708,6,11.11111111111111,31.849452456530496,41.5,20.4,15
